"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp","InflYesNo"
1,2010,39,5,"E.4","E.4.1",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1
2,2020,30,0,"E.4","E.4.1",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0
3,2015,43,4,"E.4","E.4.1",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1
4,2017,21,5,"E.4","E.4.1",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1
5,2004,26,18,"E.4","E.4.1",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1
6,2012,25,36,"E.4","E.4.1",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1
7,2008,31,23,"E.4","E.4.1",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1
8,2004,24,0,"E.4","E.4.1",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0
9,2005,35,5,"E.4","E.4.1",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1
10,2013,30,20,"E.4","E.4.1",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1
11,2003,NA,NA,"E.4","E.4.1",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA
12,2012,22,12,"E.4","E.4.1",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1
13,2004,NA,NA,"E.4","E.4.1",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA
14,2013,26,28,"E.4","E.4.1",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1
15,2010,NA,NA,"E.4","E.4.1",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA
16,2018,20,5,"E.4","E.4.1",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,1
17,2003,NA,NA,"E.4","E.4.1",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA
18,2005,35,1,"E.4","E.4.1",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1
19,2014,NA,NA,"E.4","E.4.1",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
20,2020,29,8,"E.4","E.4.1",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1
1,2010,21,0,"E.1","E.1.2",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0
2,2020,13,0,"E.1","E.1.2",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0
3,2015,18,1,"E.1","E.1.2",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1
4,2017,10,3,"E.1","E.1.2",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1
5,2004,8,0,"E.1","E.1.2",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0
6,2012,11,7,"E.1","E.1.2",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1
