"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","PptFall","PptWinter","PptSummer","TempFall","TempWinter","TempSummer","InflYesNo","RowNum","TransectNew.num","Year.num"
1,2010,39,5,"E.4","E.4.1",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,1,4,1
2,2020,30,0,"E.4","E.4.1",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,2,4,2
3,2015,43,4,"E.4","E.4.1",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,3,4,3
4,2017,21,5,"E.4","E.4.1",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,4,4,4
5,2004,26,18,"E.4","E.4.1",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,5,4,5
6,2012,25,36,"E.4","E.4.1",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,6,4,6
7,2008,31,23,"E.4","E.4.1",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,7,4,7
8,2004,24,0,"E.4","E.4.1",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,8,4,8
9,2005,35,5,"E.4","E.4.1",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,9,4,9
10,2013,30,20,"E.4","E.4.1",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,10,4,10
11,2003,NA,NA,"E.4","E.4.1",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,11,4,11
12,2012,22,12,"E.4","E.4.1",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,12,4,12
13,2004,NA,NA,"E.4","E.4.1",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,13,4,13
14,2013,26,28,"E.4","E.4.1",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,14,4,14
15,2010,NA,NA,"E.4","E.4.1",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,15,4,15
16,2018,20,5,"E.4","E.4.1",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,1,16,4,16
17,2003,NA,NA,"E.4","E.4.1",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,17,4,17
18,2005,35,1,"E.4","E.4.1",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,18,4,18
19,2014,NA,NA,"E.4","E.4.1",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,19,4,19
20,2020,29,8,"E.4","E.4.1",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,20,4,20
1,2010,21,0,"E.1","E.1.2",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,21,1,1
2,2020,13,0,"E.1","E.1.2",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,22,1,2
3,2015,18,1,"E.1","E.1.2",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1,23,1,3
4,2017,10,3,"E.1","E.1.2",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,24,1,4
5,2004,8,0,"E.1","E.1.2",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,25,1,5
6,2012,11,7,"E.1","E.1.2",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,26,1,6
7,2008,12,1,"E.1","E.1.2",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,27,1,7
8,2004,12,0,"E.1","E.1.2",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,28,1,8
9,2005,15,9,"E.1","E.1.2",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,29,1,9
10,2013,15,7,"E.1","E.1.2",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,30,1,10
11,2003,NA,NA,"E.1","E.1.2",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,31,1,11
12,2012,9,6,"E.1","E.1.2",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,32,1,12
13,2004,NA,NA,"E.1","E.1.2",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,33,1,13
14,2013,10,20,"E.1","E.1.2",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,34,1,14
15,2010,NA,NA,"E.1","E.1.2",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,35,1,15
16,2018,11,0,"E.1","E.1.2",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,0,36,1,16
17,2003,NA,NA,"E.1","E.1.2",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,37,1,17
18,2005,12,0,"E.1","E.1.2",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,0,38,1,18
19,2014,NA,NA,"E.1","E.1.2",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,39,1,19
20,2020,13,9,"E.1","E.1.2",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,40,1,20
1,2010,5,0,"W.1","W.1.3",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,41,8,1
2,2020,2,0,"W.1","W.1.3",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,42,8,2
3,2015,1,0,"W.1","W.1.3",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,43,8,3
4,2017,1,0,"W.1","W.1.3",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,0,44,8,4
5,2004,NA,NA,"W.1","W.1.3",1,0,0,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,45,8,5
1,2010,32,3,"E.6","E.6.4",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,1,46,6,1
2,2020,21,5,"E.6","E.6.4",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,47,6,2
3,2015,29,0,"E.6","E.6.4",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,48,6,3
4,2017,13,41,"E.6","E.6.4",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,49,6,4
5,2004,15,11,"E.6","E.6.4",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,1,50,6,5
6,2012,12,18,"E.6","E.6.4",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,51,6,6
7,2008,23,4,"E.6","E.6.4",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,52,6,7
8,2004,14,0,"E.6","E.6.4",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,53,6,8
9,2005,26,20,"E.6","E.6.4",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,54,6,9
10,2013,18,1,"E.6","E.6.4",1,1,1,1,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,55,6,10
11,2003,NA,NA,"E.6","E.6.4",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,56,6,11
12,2012,17,0,"E.6","E.6.4",1,1,2,2,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,0,57,6,12
13,2004,NA,NA,"E.6","E.6.4",1,NA,0,0,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,NA,58,6,13
14,2013,17,17,"E.6","E.6.4",1,1,2,2,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105,1,59,6,14
15,2010,NA,NA,"E.6","E.6.4",1,NA,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,NA,60,6,15
16,2018,12,0,"E.6","E.6.4",1,1,2,2,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,0,61,6,16
17,2003,NA,NA,"E.6","E.6.4",1,NA,0,0,100.4890018,105.5939999,173.5719948,12.35775036,1.681750134,16.20100117,NA,62,6,17
18,2005,28,12,"E.6","E.6.4",1,1,2,2,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,63,6,18
19,2014,NA,NA,"E.6","E.6.4",1,NA,0,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA,64,6,19
20,2020,19,7,"E.6","E.6.4",1,1,2,2,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1,65,6,20
1,2010,12,0,"E.2","E.2.5",1,1,0,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047,0,66,2,1
2,2020,11,0,"E.2","E.2.5",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,0,67,2,2
3,2015,15,0,"E.2","E.2.5",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0,68,2,3
4,2017,6,5,"E.2","E.2.5",1,1,1,1,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,1,69,2,4
5,2004,9,0,"E.2","E.2.5",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,70,2,5
6,2012,8,13,"E.2","E.2.5",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1,71,2,6
7,2008,13,4,"E.2","E.2.5",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1,72,2,7
8,2004,9,0,"E.2","E.2.5",1,1,1,1,105.8339977,64.72700024,330.6829958,13.35675085,2.130500123,15.21075034,0,73,2,8
9,2005,13,4,"E.2","E.2.5",1,1,1,1,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036,1,74,2,9
