"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2011,18,0,"E.1","E.1.1"
2,2014,17,0,"E.1","E.1.1"
3,2020,25,6,"E.1","E.1.1"
4,2014,20,0,"E.1","E.1.1"
5,2007,28,3,"E.1","E.1.1"
6,2003,30,2,"E.1","E.1.1"
7,2014,18,20,"E.1","E.1.1"
8,2007,25,5,"E.1","E.1.1"
9,2013,20,20,"E.1","E.1.1"
10,2003,28,3,"E.1","E.1.1"
11,2013,NA,NA,"E.1","E.1.1"
12,2003,0,0,"E.1","E.1.1"
13,2012,NA,NA,"E.1","E.1.1"
14,2011,NA,NA,"E.1","E.1.1"
15,2005,NA,NA,"E.1","E.1.1"
16,2019,NA,NA,"E.1","E.1.1"
17,2010,NA,NA,"E.1","E.1.1"
18,2013,NA,NA,"E.1","E.1.1"
19,2017,NA,NA,"E.1","E.1.1"
20,2002,NA,NA,"E.1","E.1.1"
21,2012,NA,NA,"E.1","E.1.1"
22,2002,NA,NA,"E.1","E.1.1"
23,2010,NA,NA,"E.1","E.1.1"
24,2020,NA,NA,"E.1","E.1.1"
25,2014,NA,NA,"E.1","E.1.1"
26,2004,NA,NA,"E.1","E.1.1"
27,2012,NA,NA,"E.1","E.1.1"
28,2014,NA,NA,"E.1","E.1.1"
29,2010,NA,NA,"E.1","E.1.1"
30,2017,NA,NA,"E.1","E.1.1"
31,2013,NA,NA,"E.1","E.1.1"
32,2010,NA,NA,"E.1","E.1.1"
33,2021,NA,NA,"E.1","E.1.1"
34,2006,NA,NA,"E.1","E.1.1"
35,2006,NA,NA,"E.1","E.1.1"
36,2020,NA,NA,"E.1","E.1.1"
37,2016,NA,NA,"E.1","E.1.1"
38,2007,NA,NA,"E.1","E.1.1"
39,2017,NA,NA,"E.1","E.1.1"
40,2020,NA,NA,"E.1","E.1.1"
41,2015,NA,NA,"E.1","E.1.1"
42,2019,NA,NA,"E.1","E.1.1"
43,2010,NA,NA,"E.1","E.1.1"
44,2005,NA,NA,"E.1","E.1.1"
45,2007,NA,NA,"E.1","E.1.1"
46,2008,NA,NA,"E.1","E.1.1"
47,2005,NA,NA,"E.1","E.1.1"
48,2011,NA,NA,"E.1","E.1.1"
49,2004,NA,NA,"E.1","E.1.1"
50,2016,NA,NA,"E.1","E.1.1"
1,2011,14,3,"W.1","W.1.2"
2,2014,10,0,"W.1","W.1.2"
3,2020,17,0,"W.1","W.1.2"
4,2014,0,0,"W.1","W.1.2"
5,2007,0,0,"W.1","W.1.2"
6,2003,NA,NA,"W.1","W.1.2"
7,2014,NA,NA,"W.1","W.1.2"
8,2007,NA,NA,"W.1","W.1.2"
9,2013,NA,NA,"W.1","W.1.2"
10,2003,NA,NA,"W.1","W.1.2"
11,2013,NA,NA,"W.1","W.1.2"
12,2003,NA,NA,"W.1","W.1.2"
13,2012,NA,NA,"W.1","W.1.2"
14,2011,NA,NA,"W.1","W.1.2"
15,2005,NA,NA,"W.1","W.1.2"
16,2019,NA,NA,"W.1","W.1.2"
17,2010,NA,NA,"W.1","W.1.2"
18,2013,NA,NA,"W.1","W.1.2"
19,2017,NA,NA,"W.1","W.1.2"
20,2002,NA,NA,"W.1","W.1.2"
21,2012,NA,NA,"W.1","W.1.2"
22,2002,NA,NA,"W.1","W.1.2"
23,2010,NA,NA,"W.1","W.1.2"
24,2020,NA,NA,"W.1","W.1.2"
25,2014,NA,NA,"W.1","W.1.2"
26,2004,NA,NA,"W.1","W.1.2"
27,2012,NA,NA,"W.1","W.1.2"
28,2014,NA,NA,"W.1","W.1.2"
29,2010,NA,NA,"W.1","W.1.2"
30,2017,NA,NA,"W.1","W.1.2"
31,2013,NA,NA,"W.1","W.1.2"
32,2010,NA,NA,"W.1","W.1.2"
