"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2011,14,0,"E.1","E.1.1"
2,2019,17,0,"E.1","E.1.1"
3,2002,12,0,"E.1","E.1.1"
4,2007,19,0,"E.1","E.1.1"
5,2009,12,0,"E.1","E.1.1"
6,2013,0,0,"E.1","E.1.1"
7,2002,0,0,"E.1","E.1.1"
8,2007,NA,NA,"E.1","E.1.1"
9,2014,NA,NA,"E.1","E.1.1"
10,2014,NA,NA,"E.1","E.1.1"
11,2011,NA,NA,"E.1","E.1.1"
12,2009,NA,NA,"E.1","E.1.1"
13,2016,NA,NA,"E.1","E.1.1"
14,2017,NA,NA,"E.1","E.1.1"
15,2009,NA,NA,"E.1","E.1.1"
16,2004,NA,NA,"E.1","E.1.1"
17,2012,NA,NA,"E.1","E.1.1"
18,2011,NA,NA,"E.1","E.1.1"
19,2010,NA,NA,"E.1","E.1.1"
20,2017,NA,NA,"E.1","E.1.1"
1,2011,18,3,"E.5","E.5.2"
2,2019,29,0,"E.5","E.5.2"
3,2002,18,0,"E.5","E.5.2"
4,2007,28,6,"E.5","E.5.2"
5,2009,0,0,"E.5","E.5.2"
6,2013,0,0,"E.5","E.5.2"
7,2002,NA,NA,"E.5","E.5.2"
8,2007,NA,NA,"E.5","E.5.2"
9,2014,NA,NA,"E.5","E.5.2"
10,2014,NA,NA,"E.5","E.5.2"
11,2011,NA,NA,"E.5","E.5.2"
12,2009,NA,NA,"E.5","E.5.2"
13,2016,NA,NA,"E.5","E.5.2"
14,2017,NA,NA,"E.5","E.5.2"
15,2009,NA,NA,"E.5","E.5.2"
16,2004,NA,NA,"E.5","E.5.2"
17,2012,NA,NA,"E.5","E.5.2"
18,2011,NA,NA,"E.5","E.5.2"
19,2010,NA,NA,"E.5","E.5.2"
20,2017,NA,NA,"E.5","E.5.2"
1,2011,17,0,"W.2","W.2.3"
2,2019,20,0,"W.2","W.2.3"
3,2002,15,0,"W.2","W.2.3"
4,2007,24,0,"W.2","W.2.3"
5,2009,13,6,"W.2","W.2.3"
6,2013,19,3,"W.2","W.2.3"
7,2002,9,4,"W.2","W.2.3"
8,2007,24,0,"W.2","W.2.3"
9,2014,11,0,"W.2","W.2.3"
10,2014,19,0,"W.2","W.2.3"
11,2011,NA,NA,"W.2","W.2.3"
12,2009,0,0,"W.2","W.2.3"
13,2016,NA,NA,"W.2","W.2.3"
14,2017,NA,NA,"W.2","W.2.3"
15,2009,NA,NA,"W.2","W.2.3"
16,2004,NA,NA,"W.2","W.2.3"
17,2012,NA,NA,"W.2","W.2.3"
18,2011,NA,NA,"W.2","W.2.3"
19,2010,NA,NA,"W.2","W.2.3"
20,2017,NA,NA,"W.2","W.2.3"
1,2011,14,0,"E.4","E.4.4"
2,2019,0,0,"E.4","E.4.4"
3,2002,0,0,"E.4","E.4.4"
4,2007,NA,NA,"E.4","E.4.4"
5,2009,NA,NA,"E.4","E.4.4"
6,2013,NA,NA,"E.4","E.4.4"
7,2002,NA,NA,"E.4","E.4.4"
8,2007,NA,NA,"E.4","E.4.4"
9,2014,NA,NA,"E.4","E.4.4"
10,2014,NA,NA,"E.4","E.4.4"
11,2011,NA,NA,"E.4","E.4.4"
12,2009,NA,NA,"E.4","E.4.4"
13,2016,NA,NA,"E.4","E.4.4"
14,2017,NA,NA,"E.4","E.4.4"
15,2009,NA,NA,"E.4","E.4.4"
16,2004,NA,NA,"E.4","E.4.4"
17,2012,NA,NA,"E.4","E.4.4"
18,2011,NA,NA,"E.4","E.4.4"
19,2010,NA,NA,"E.4","E.4.4"
20,2017,NA,NA,"E.4","E.4.4"
1,2011,21,0,"E.1","E.1.5"
2,2019,27,0,"E.1","E.1.5"
3,2002,20,0,"E.1","E.1.5"
4,2007,32,0,"E.1","E.1.5"
5,2009,23,13,"E.1","E.1.5"
6,2013,22,11,"E.1","E.1.5"
7,2002,19,0,"E.1","E.1.5"
8,2007,33,0,"E.1","E.1.5"
9,2014,0,0,"E.1","E.1.5"
10,2014,0,0,"E.1","E.1.5"
11,2011,NA,NA,"E.1","E.1.5"
12,2009,NA,NA,"E.1","E.1.5"
13,2016,NA,NA,"E.1","E.1.5"
14,2017,NA,NA,"E.1","E.1.5"
15,2009,NA,NA,"E.1","E.1.5"
