"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2010,12,0,"W.2","W.2.1"
2,2016,9,0,"W.2","W.2.1"
3,2017,5,0,"W.2","W.2.1"
4,2008,10,3,"W.2","W.2.1"
5,2015,15,0,"W.2","W.2.1"
6,2008,13,7,"W.2","W.2.1"
7,2014,7,0,"W.2","W.2.1"
8,2011,15,0,"W.2","W.2.1"
9,2004,13,0,"W.2","W.2.1"
10,2015,19,0,"W.2","W.2.1"
11,2010,NA,NA,"W.2","W.2.1"
12,2018,9,0,"W.2","W.2.1"
13,2014,NA,NA,"W.2","W.2.1"
14,2014,7,0,"W.2","W.2.1"
15,2007,NA,NA,"W.2","W.2.1"
16,2020,8,1,"W.2","W.2.1"
17,2013,NA,NA,"W.2","W.2.1"
18,2008,14,0,"W.2","W.2.1"
19,2003,NA,NA,"W.2","W.2.1"
20,2021,15,0,"W.2","W.2.1"
1,2010,23,5,"E.3","E.3.2"
2,2016,10,0,"E.3","E.3.2"
3,2017,0,0,"E.3","E.3.2"
4,2008,0,0,"E.3","E.3.2"
5,2015,NA,NA,"E.3","E.3.2"
6,2008,NA,NA,"E.3","E.3.2"
7,2014,NA,NA,"E.3","E.3.2"
8,2011,NA,NA,"E.3","E.3.2"
9,2004,NA,NA,"E.3","E.3.2"
10,2015,NA,NA,"E.3","E.3.2"
11,2010,NA,NA,"E.3","E.3.2"
12,2018,NA,NA,"E.3","E.3.2"
13,2014,NA,NA,"E.3","E.3.2"
14,2014,NA,NA,"E.3","E.3.2"
15,2007,NA,NA,"E.3","E.3.2"
16,2020,NA,NA,"E.3","E.3.2"
17,2013,NA,NA,"E.3","E.3.2"
18,2008,NA,NA,"E.3","E.3.2"
19,2003,NA,NA,"E.3","E.3.2"
20,2021,NA,NA,"E.3","E.3.2"
1,2010,15,2,"E.3","E.3.3"
2,2016,9,0,"E.3","E.3.3"
3,2017,6,3,"E.3","E.3.3"
4,2008,9,0,"E.3","E.3.3"
5,2015,14,0,"E.3","E.3.3"
6,2008,7,0,"E.3","E.3.3"
7,2014,11,0,"E.3","E.3.3"
8,2011,8,3,"E.3","E.3.3"
9,2004,7,0,"E.3","E.3.3"
10,2015,14,0,"E.3","E.3.3"
11,2010,NA,NA,"E.3","E.3.3"
12,2018,4,1,"E.3","E.3.3"
13,2014,NA,NA,"E.3","E.3.3"
14,2014,0,0,"E.3","E.3.3"
15,2007,NA,NA,"E.3","E.3.3"
16,2020,NA,NA,"E.3","E.3.3"
17,2013,NA,NA,"E.3","E.3.3"
18,2008,NA,NA,"E.3","E.3.3"
19,2003,NA,NA,"E.3","E.3.3"
20,2021,NA,NA,"E.3","E.3.3"
1,2010,35,5,"W.3","W.3.4"
2,2016,18,4,"W.3","W.3.4"
3,2017,18,6,"W.3","W.3.4"
4,2008,23,13,"W.3","W.3.4"
5,2015,30,2,"W.3","W.3.4"
6,2008,24,26,"W.3","W.3.4"
7,2014,15,0,"W.3","W.3.4"
8,2011,19,0,"W.3","W.3.4"
9,2004,22,0,"W.3","W.3.4"
10,2015,33,18,"W.3","W.3.4"
11,2010,NA,NA,"W.3","W.3.4"
12,2018,19,0,"W.3","W.3.4"
13,2014,NA,NA,"W.3","W.3.4"
14,2014,22,16,"W.3","W.3.4"
15,2007,NA,NA,"W.3","W.3.4"
16,2020,23,3,"W.3","W.3.4"
17,2013,NA,NA,"W.3","W.3.4"
18,2008,19,6,"W.3","W.3.4"
19,2003,NA,NA,"W.3","W.3.4"
20,2021,22,14,"W.3","W.3.4"
1,2010,25,0,"W.5","W.5.5"
2,2016,18,6,"W.5","W.5.5"
3,2017,15,11,"W.5","W.5.5"
4,2008,24,18,"W.5","W.5.5"
5,2015,28,0,"W.5","W.5.5"
6,2008,23,10,"W.5","W.5.5"
7,2014,18,0,"W.5","W.5.5"
8,2011,0,0,"W.5","W.5.5"
9,2004,0,0,"W.5","W.5.5"
10,2015,NA,NA,"W.5","W.5.5"
11,2010,NA,NA,"W.5","W.5.5"
12,2018,NA,NA,"W.5","W.5.5"
13,2014,NA,NA,"W.5","W.5.5"
14,2014,NA,NA,"W.5","W.5.5"
15,2007,NA,NA,"W.5","W.5.5"
16,2020,NA,NA,"W.5","W.5.5"
17,2013,NA,NA,"W.5","W.5.5"
18,2008,NA,NA,"W.5","W.5.5"
19,2003,NA,NA,"W.5","W.5.5"
20,2021,NA,NA,"W.5","W.5.5"
1,2010,24,0,"W.2","W.2.6"
2,2016,0,0,"W.2","W.2.6"
3,2017,0,0,"W.2","W.2.6"
4,2008,NA,NA,"W.2","W.2.6"
5,2015,NA,NA,"W.2","W.2.6"
6,2008,NA,NA,"W.2","W.2.6"
7,2014,NA,NA,"W.2","W.2.6"
8,2011,NA,NA,"W.2","W.2.6"
9,2004,NA,NA,"W.2","W.2.6"
10,2015,NA,NA,"W.2","W.2.6"
11,2010,NA,NA,"W.2","W.2.6"
12,2018,NA,NA,"W.2","W.2.6"
13,2014,NA,NA,"W.2","W.2.6"
14,2014,NA,NA,"W.2","W.2.6"
15,2007,NA,NA,"W.2","W.2.6"
16,2020,NA,NA,"W.2","W.2.6"
17,2013,NA,NA,"W.2","W.2.6"
18,2008,NA,NA,"W.2","W.2.6"
19,2003,NA,NA,"W.2","W.2.6"
20,2021,NA,NA,"W.2","W.2.6"
1,2010,18,0,"W.4","W.4.7"
2,2016,7,1,"W.4","W.4.7"
3,2017,12,4,"W.4","W.4.7"
4,2008,16,0,"W.4","W.4.7"
5,2015,20,0,"W.4","W.4.7"
6,2008,11,10,"W.4","W.4.7"
7,2014,9,0,"W.4","W.4.7"
8,2011,12,0,"W.4","W.4.7"
9,2004,14,0,"W.4","W.4.7"
10,2015,18,3,"W.4","W.4.7"
11,2010,NA,NA,"W.4","W.4.7"
12,2018,8,0,"W.4","W.4.7"
13,2014,NA,NA,"W.4","W.4.7"
14,2014,15,1,"W.4","W.4.7"
15,2007,NA,NA,"W.4","W.4.7"
16,2020,14,1,"W.4","W.4.7"
17,2013,NA,NA,"W.4","W.4.7"
18,2008,15,3,"W.4","W.4.7"
19,2003,NA,NA,"W.4","W.4.7"
20,2021,14,0,"W.4","W.4.7"
1,2010,20,10,"W.1","W.1.8"
2,2016,13,0,"W.1","W.1.8"
3,2017,12,1,"W.1","W.1.8"
4,2008,14,0,"W.1","W.1.8"
