"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2005,20,NA,"E.1","E.1.1"
2,2008,23,11,"E.1","E.1.1"
3,2004,19,0,"E.1","E.1.1"
4,2006,18,30,"E.1","E.1.1"
5,2004,17,0,"E.1","E.1.1"
6,2007,26,18,"E.1","E.1.1"
7,2003,27,12,"E.1","E.1.1"
8,2017,13,10,"E.1","E.1.1"
9,2016,18,26,"E.1","E.1.1"
10,2013,17,0,"E.1","E.1.1"
11,2014,19,0,"E.1","E.1.1"
12,2010,30,7,"E.1","E.1.1"
13,2017,15,7,"E.1","E.1.1"
14,2019,24,13,"E.1","E.1.1"
15,2004,18,0,"E.1","E.1.1"
16,2005,22,4,"E.1","E.1.1"
17,2003,28,4,"E.1","E.1.1"
18,2008,18,13,"E.1","E.1.1"
19,2014,17,0,"E.1","E.1.1"
20,2009,19,5,"E.1","E.1.1"
1,2005,29,NA,"E.2","E.2.2"
2,2008,29,23,"E.2","E.2.2"
3,2004,21,4,"E.2","E.2.2"
4,2006,25,17,"E.2","E.2.2"
5,2004,0,0,"E.2","E.2.2"
6,2007,0,0,"E.2","E.2.2"
7,2003,NA,NA,"E.2","E.2.2"
8,2017,NA,NA,"E.2","E.2.2"
9,2016,NA,NA,"E.2","E.2.2"
10,2013,NA,NA,"E.2","E.2.2"
11,2014,NA,NA,"E.2","E.2.2"
12,2010,NA,NA,"E.2","E.2.2"
13,2017,NA,NA,"E.2","E.2.2"
14,2019,NA,NA,"E.2","E.2.2"
15,2004,NA,NA,"E.2","E.2.2"
16,2005,NA,NA,"E.2","E.2.2"
17,2003,NA,NA,"E.2","E.2.2"
18,2008,NA,NA,"E.2","E.2.2"
19,2014,NA,NA,"E.2","E.2.2"
20,2009,NA,NA,"E.2","E.2.2"
1,2005,11,NA,"E.6","E.6.3"
2,2008,12,1,"E.6","E.6.3"
3,2004,0,0,"E.6","E.6.3"
4,2006,0,0,"E.6","E.6.3"
5,2004,NA,NA,"E.6","E.6.3"
6,2007,NA,NA,"E.6","E.6.3"
7,2003,NA,NA,"E.6","E.6.3"
8,2017,NA,NA,"E.6","E.6.3"
9,2016,NA,NA,"E.6","E.6.3"
10,2013,NA,NA,"E.6","E.6.3"
11,2014,NA,NA,"E.6","E.6.3"
12,2010,NA,NA,"E.6","E.6.3"
13,2017,NA,NA,"E.6","E.6.3"
14,2019,NA,NA,"E.6","E.6.3"
15,2004,NA,NA,"E.6","E.6.3"
16,2005,NA,NA,"E.6","E.6.3"
17,2003,NA,NA,"E.6","E.6.3"
18,2008,NA,NA,"E.6","E.6.3"
19,2014,NA,NA,"E.6","E.6.3"
20,2009,NA,NA,"E.6","E.6.3"
1,2005,11,NA,"E.5","E.5.4"
2,2008,16,0,"E.5","E.5.4"
3,2004,12,0,"E.5","E.5.4"
4,2006,15,12,"E.5","E.5.4"
5,2004,10,0,"E.5","E.5.4"
6,2007,16,4,"E.5","E.5.4"
7,2003,18,4,"E.5","E.5.4"
8,2017,9,0,"E.5","E.5.4"
9,2016,7,6,"E.5","E.5.4"
10,2013,11,4,"E.5","E.5.4"
11,2014,13,0,"E.5","E.5.4"
12,2010,16,4,"E.5","E.5.4"
13,2017,10,0,"E.5","E.5.4"
14,2019,15,4,"E.5","E.5.4"
15,2004,13,0,"E.5","E.5.4"
16,2005,16,7,"E.5","E.5.4"
17,2003,18,0,"E.5","E.5.4"
18,2008,9,0,"E.5","E.5.4"
19,2014,8,0,"E.5","E.5.4"
20,2009,11,0,"E.5","E.5.4"
1,2005,23,NA,"E.1","E.1.5"
2,2008,26,10,"E.1","E.1.5"
3,2004,21,0,"E.1","E.1.5"
4,2006,17,5,"E.1","E.1.5"
5,2004,20,9,"E.1","E.1.5"
6,2007,28,25,"E.1","E.1.5"
7,2003,27,7,"E.1","E.1.5"
8,2017,17,30,"E.1","E.1.5"
9,2016,24,0,"E.1","E.1.5"
10,2013,19,0,"E.1","E.1.5"
11,2014,20,0,"E.1","E.1.5"
12,2010,35,4,"E.1","E.1.5"
13,2017,14,0,"E.1","E.1.5"
14,2019,26,27,"E.1","E.1.5"
15,2004,23,1,"E.1","E.1.5"
16,2005,26,9,"E.1","E.1.5"
17,2003,27,1,"E.1","E.1.5"
18,2008,26,16,"E.1","E.1.5"
19,2014,16,1,"E.1","E.1.5"
20,2009,19,8,"E.1","E.1.5"
1,2005,3,NA,"E.1","E.1.6"
2,2008,0,0,"E.1","E.1.6"
3,2004,0,0,"E.1","E.1.6"
4,2006,NA,NA,"E.1","E.1.6"
5,2004,NA,NA,"E.1","E.1.6"
6,2007,NA,NA,"E.1","E.1.6"
7,2003,NA,NA,"E.1","E.1.6"
8,2017,NA,NA,"E.1","E.1.6"
9,2016,NA,NA,"E.1","E.1.6"
10,2013,NA,NA,"E.1","E.1.6"
11,2014,NA,NA,"E.1","E.1.6"
12,2010,NA,NA,"E.1","E.1.6"
13,2017,NA,NA,"E.1","E.1.6"
14,2019,NA,NA,"E.1","E.1.6"
15,2004,NA,NA,"E.1","E.1.6"
16,2005,NA,NA,"E.1","E.1.6"
17,2003,NA,NA,"E.1","E.1.6"
18,2008,NA,NA,"E.1","E.1.6"
19,2014,NA,NA,"E.1","E.1.6"
20,2009,NA,NA,"E.1","E.1.6"
1,2005,26,NA,"W.2","W.2.7"
2,2008,28,5,"W.2","W.2.7"
3,2004,21,0,"W.2","W.2.7"
4,2006,23,28,"W.2","W.2.7"
5,2004,20,12,"W.2","W.2.7"
6,2007,31,11,"W.2","W.2.7"
7,2003,32,15,"W.2","W.2.7"
8,2017,20,5,"W.2","W.2.7"
9,2016,23,13,"W.2","W.2.7"
10,2013,22,12,"W.2","W.2.7"
11,2014,0,0,"W.2","W.2.7"
12,2010,0,0,"W.2","W.2.7"
13,2017,NA,NA,"W.2","W.2.7"
14,2019,NA,NA,"W.2","W.2.7"
15,2004,NA,NA,"W.2","W.2.7"
16,2005,NA,NA,"W.2","W.2.7"
17,2003,NA,NA,"W.2","W.2.7"
18,2008,NA,NA,"W.2","W.2.7"
19,2014,NA,NA,"W.2","W.2.7"
20,2009,NA,NA,"W.2","W.2.7"
1,2005,17,NA,"E.5","E.5.8"
2,2008,16,17,"E.5","E.5.8"
3,2004,19,0,"E.5","E.5.8"
4,2006,16,5,"E.5","E.5.8"
5,2004,15,2,"E.5","E.5.8"
6,2007,23,11,"E.5","E.5.8"
7,2003,20,11,"E.5","E.5.8"
8,2017,15,4,"E.5","E.5.8"
9,2016,15,0,"E.5","E.5.8"
10,2013,0,0,"E.5","E.5.8"
11,2014,0,0,"E.5","E.5.8"
12,2010,NA,NA,"E.5","E.5.8"
13,2017,NA,NA,"E.5","E.5.8"
14,2019,NA,NA,"E.5","E.5.8"
15,2004,NA,NA,"E.5","E.5.8"
16,2005,NA,NA,"E.5","E.5.8"
17,2003,NA,NA,"E.5","E.5.8"
18,2008,NA,NA,"E.5","E.5.8"
19,2014,NA,NA,"E.5","E.5.8"
20,2009,NA,NA,"E.5","E.5.8"
1,2005,26,NA,"E.6","E.6.9"
2,2008,26,17,"E.6","E.6.9"
3,2004,21,6,"E.6","E.6.9"
4,2006,25,23,"E.6","E.6.9"
5,2004,23,12,"E.6","E.6.9"
6,2007,31,31,"E.6","E.6.9"
7,2003,31,9,"E.6","E.6.9"
8,2017,20,8,"E.6","E.6.9"
9,2016,17,0,"E.6","E.6.9"
10,2013,22,9,"E.6","E.6.9"
11,2014,20,0,"E.6","E.6.9"
12,2010,39,5,"E.6","E.6.9"
13,2017,19,2,"E.6","E.6.9"
14,2019,26,13,"E.6","E.6.9"
15,2004,22,0,"E.6","E.6.9"
16,2005,29,10,"E.6","E.6.9"
17,2003,34,7,"E.6","E.6.9"
18,2008,24,17,"E.6","E.6.9"
19,2014,24,0,"E.6","E.6.9"
20,2009,25,1,"E.6","E.6.9"
1,2005,14,NA,"E.7","E.7.10"
2,2008,18,4,"E.7","E.7.10"
3,2004,13,0,"E.7","E.7.10"
4,2006,17,0,"E.7","E.7.10"
5,2004,14,0,"E.7","E.7.10"
6,2007,21,7,"E.7","E.7.10"
7,2003,24,5,"E.7","E.7.10"
8,2017,11,0,"E.7","E.7.10"
9,2016,11,12,"E.7","E.7.10"
10,2013,0,0,"E.7","E.7.10"
11,2014,0,0,"E.7","E.7.10"
12,2010,NA,NA,"E.7","E.7.10"
13,2017,NA,NA,"E.7","E.7.10"
14,2019,NA,NA,"E.7","E.7.10"
15,2004,NA,NA,"E.7","E.7.10"
16,2005,NA,NA,"E.7","E.7.10"
17,2003,NA,NA,"E.7","E.7.10"
18,2008,NA,NA,"E.7","E.7.10"
19,2014,NA,NA,"E.7","E.7.10"
20,2009,NA,NA,"E.7","E.7.10"
1,2005,20,NA,"E.5","E.5.11"
2,2008,18,0,"E.5","E.5.11"
3,2004,18,0,"E.5","E.5.11"
4,2006,16,5,"E.5","E.5.11"
5,2004,25,0,"E.5","E.5.11"
6,2007,27,2,"E.5","E.5.11"
7,2003,26,1,"E.5","E.5.11"
8,2017,16,6,"E.5","E.5.11"
9,2016,14,11,"E.5","E.5.11"
10,2013,19,21,"E.5","E.5.11"
11,2014,15,0,"E.5","E.5.11"
12,2010,30,3,"E.5","E.5.11"
13,2017,17,0,"E.5","E.5.11"
14,2019,27,19,"E.5","E.5.11"
15,2004,17,0,"E.5","E.5.11"
16,2005,28,14,"E.5","E.5.11"
17,2003,26,0,"E.5","E.5.11"
18,2008,22,4,"E.5","E.5.11"
19,2014,15,0,"E.5","E.5.11"
20,2009,18,3,"E.5","E.5.11"
1,2005,20,NA,"W.5","W.5.12"
2,2008,20,4,"W.5","W.5.12"
3,2004,20,0,"W.5","W.5.12"
4,2006,18,20,"W.5","W.5.12"
5,2004,19,0,"W.5","W.5.12"
6,2007,26,22,"W.5","W.5.12"
7,2003,26,0,"W.5","W.5.12"
8,2017,17,5,"W.5","W.5.12"
9,2016,18,10,"W.5","W.5.12"
10,2013,19,3,"W.5","W.5.12"
11,2014,0,0,"W.5","W.5.12"
12,2010,0,0,"W.5","W.5.12"
13,2017,NA,NA,"W.5","W.5.12"
14,2019,NA,NA,"W.5","W.5.12"
15,2004,NA,NA,"W.5","W.5.12"
16,2005,NA,NA,"W.5","W.5.12"
17,2003,NA,NA,"W.5","W.5.12"
18,2008,NA,NA,"W.5","W.5.12"
19,2014,NA,NA,"W.5","W.5.12"
20,2009,NA,NA,"W.5","W.5.12"
1,2005,29,NA,"E.4","E.4.13"
2,2008,33,0,"E.4","E.4.13"
3,2004,24,0,"E.4","E.4.13"
4,2006,22,6,"E.4","E.4.13"
5,2004,21,0,"E.4","E.4.13"
6,2007,38,3,"E.4","E.4.13"
7,2003,38,13,"E.4","E.4.13"
8,2017,21,42,"E.4","E.4.13"
9,2016,0,0,"E.4","E.4.13"
10,2013,0,0,"E.4","E.4.13"
11,2014,NA,NA,"E.4","E.4.13"
12,2010,NA,NA,"E.4","E.4.13"
13,2017,NA,NA,"E.4","E.4.13"
14,2019,NA,NA,"E.4","E.4.13"
15,2004,NA,NA,"E.4","E.4.13"
16,2005,NA,NA,"E.4","E.4.13"
17,2003,NA,NA,"E.4","E.4.13"
18,2008,NA,NA,"E.4","E.4.13"
19,2014,NA,NA,"E.4","E.4.13"
20,2009,NA,NA,"E.4","E.4.13"
1,2005,14,NA,"E.7","E.7.14"
2,2008,19,6,"E.7","E.7.14"
3,2004,13,0,"E.7","E.7.14"
4,2006,17,0,"E.7","E.7.14"
5,2004,10,0,"E.7","E.7.14"
6,2007,19,14,"E.7","E.7.14"
7,2003,21,7,"E.7","E.7.14"
8,2017,14,5,"E.7","E.7.14"
9,2016,9,3,"E.7","E.7.14"
10,2013,0,0,"E.7","E.7.14"
11,2014,0,0,"E.7","E.7.14"
12,2010,NA,NA,"E.7","E.7.14"
13,2017,NA,NA,"E.7","E.7.14"
14,2019,NA,NA,"E.7","E.7.14"
15,2004,NA,NA,"E.7","E.7.14"
