"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2006,150,NA,"E.5","E.5.1"
2,2014,147,426,"E.5","E.5.1"
3,2014,0,0,"E.5","E.5.1"
4,2004,0,0,"E.5","E.5.1"
5,2014,NA,NA,"E.5","E.5.1"
6,2005,NA,NA,"E.5","E.5.1"
7,2010,NA,NA,"E.5","E.5.1"
8,2006,NA,NA,"E.5","E.5.1"
9,2009,NA,NA,"E.5","E.5.1"
10,2017,NA,NA,"E.5","E.5.1"
11,2018,NA,NA,"E.5","E.5.1"
12,2008,NA,NA,"E.5","E.5.1"
13,2006,NA,NA,"E.5","E.5.1"
14,2008,NA,NA,"E.5","E.5.1"
15,2014,NA,NA,"E.5","E.5.1"
16,2004,NA,NA,"E.5","E.5.1"
17,2008,NA,NA,"E.5","E.5.1"
18,2005,NA,NA,"E.5","E.5.1"
19,2010,NA,NA,"E.5","E.5.1"
20,2002,NA,NA,"E.5","E.5.1"
1,2006,1,NA,"W.5","W.5.2"
2,2014,0,0,"W.5","W.5.2"
3,2014,0,0,"W.5","W.5.2"
4,2004,NA,NA,"W.5","W.5.2"
5,2014,NA,NA,"W.5","W.5.2"
6,2005,NA,NA,"W.5","W.5.2"
7,2010,NA,NA,"W.5","W.5.2"
8,2006,NA,NA,"W.5","W.5.2"
9,2009,NA,NA,"W.5","W.5.2"
10,2017,NA,NA,"W.5","W.5.2"
11,2018,NA,NA,"W.5","W.5.2"
12,2008,NA,NA,"W.5","W.5.2"
13,2006,NA,NA,"W.5","W.5.2"
14,2008,NA,NA,"W.5","W.5.2"
15,2014,NA,NA,"W.5","W.5.2"
16,2004,NA,NA,"W.5","W.5.2"
17,2008,NA,NA,"W.5","W.5.2"
18,2005,NA,NA,"W.5","W.5.2"
19,2010,NA,NA,"W.5","W.5.2"
20,2002,NA,NA,"W.5","W.5.2"
1,2006,150,NA,"W.1","W.1.3"
2,2014,144,885,"W.1","W.1.3"
3,2014,0,0,"W.1","W.1.3"
4,2004,0,0,"W.1","W.1.3"
5,2014,NA,NA,"W.1","W.1.3"
6,2005,NA,NA,"W.1","W.1.3"
7,2010,NA,NA,"W.1","W.1.3"
8,2006,NA,NA,"W.1","W.1.3"
9,2009,NA,NA,"W.1","W.1.3"
10,2017,NA,NA,"W.1","W.1.3"
11,2018,NA,NA,"W.1","W.1.3"
12,2008,NA,NA,"W.1","W.1.3"
13,2006,NA,NA,"W.1","W.1.3"
14,2008,NA,NA,"W.1","W.1.3"
15,2014,NA,NA,"W.1","W.1.3"
16,2004,NA,NA,"W.1","W.1.3"
17,2008,NA,NA,"W.1","W.1.3"
18,2005,NA,NA,"W.1","W.1.3"
19,2010,NA,NA,"W.1","W.1.3"
20,2002,NA,NA,"W.1","W.1.3"
1,2006,8,NA,"E.4","E.4.4"
2,2014,11,0,"E.4","E.4.4"
3,2014,0,0,"E.4","E.4.4"
4,2004,0,0,"E.4","E.4.4"
5,2014,NA,NA,"E.4","E.4.4"
6,2005,NA,NA,"E.4","E.4.4"
7,2010,NA,NA,"E.4","E.4.4"
8,2006,NA,NA,"E.4","E.4.4"
9,2009,NA,NA,"E.4","E.4.4"
10,2017,NA,NA,"E.4","E.4.4"
11,2018,NA,NA,"E.4","E.4.4"
12,2008,NA,NA,"E.4","E.4.4"
13,2006,NA,NA,"E.4","E.4.4"
14,2008,NA,NA,"E.4","E.4.4"
15,2014,NA,NA,"E.4","E.4.4"
16,2004,NA,NA,"E.4","E.4.4"
17,2008,NA,NA,"E.4","E.4.4"
18,2005,NA,NA,"E.4","E.4.4"
19,2010,NA,NA,"E.4","E.4.4"
20,2002,NA,NA,"E.4","E.4.4"
1,2006,5,NA,"E.7","E.7.5"
2,2014,8,3,"E.7","E.7.5"
3,2014,0,0,"E.7","E.7.5"
4,2004,0,0,"E.7","E.7.5"
5,2014,NA,NA,"E.7","E.7.5"
6,2005,NA,NA,"E.7","E.7.5"
7,2010,NA,NA,"E.7","E.7.5"
8,2006,NA,NA,"E.7","E.7.5"
9,2009,NA,NA,"E.7","E.7.5"
10,2017,NA,NA,"E.7","E.7.5"
11,2018,NA,NA,"E.7","E.7.5"
12,2008,NA,NA,"E.7","E.7.5"
13,2006,NA,NA,"E.7","E.7.5"
14,2008,NA,NA,"E.7","E.7.5"
15,2014,NA,NA,"E.7","E.7.5"
16,2004,NA,NA,"E.7","E.7.5"
17,2008,NA,NA,"E.7","E.7.5"
18,2005,NA,NA,"E.7","E.7.5"
19,2010,NA,NA,"E.7","E.7.5"
20,2002,NA,NA,"E.7","E.7.5"
1,2006,38,NA,"E.2","E.2.6"
2,2014,50,61,"E.2","E.2.6"
3,2014,49,90,"E.2","E.2.6"
4,2004,46,13,"E.2","E.2.6"
5,2014,48,59,"E.2","E.2.6"
6,2005,70,206,"E.2","E.2.6"
7,2010,75,45,"E.2","E.2.6"
8,2006,47,101,"E.2","E.2.6"
9,2009,0,0,"E.2","E.2.6"
10,2017,0,0,"E.2","E.2.6"
11,2018,NA,NA,"E.2","E.2.6"
12,2008,NA,NA,"E.2","E.2.6"
13,2006,NA,NA,"E.2","E.2.6"
14,2008,NA,NA,"E.2","E.2.6"
15,2014,NA,NA,"E.2","E.2.6"
16,2004,NA,NA,"E.2","E.2.6"
17,2008,NA,NA,"E.2","E.2.6"
18,2005,NA,NA,"E.2","E.2.6"
19,2010,NA,NA,"E.2","E.2.6"
20,2002,NA,NA,"E.2","E.2.6"
1,2006,1,NA,"W.1","W.1.7"
2,2014,0,0,"W.1","W.1.7"
3,2014,0,0,"W.1","W.1.7"
4,2004,NA,NA,"W.1","W.1.7"
5,2014,NA,NA,"W.1","W.1.7"
6,2005,NA,NA,"W.1","W.1.7"
7,2010,NA,NA,"W.1","W.1.7"
8,2006,NA,NA,"W.1","W.1.7"
9,2009,NA,NA,"W.1","W.1.7"
10,2017,NA,NA,"W.1","W.1.7"
11,2018,NA,NA,"W.1","W.1.7"
12,2008,NA,NA,"W.1","W.1.7"
13,2006,NA,NA,"W.1","W.1.7"
14,2008,NA,NA,"W.1","W.1.7"
15,2014,NA,NA,"W.1","W.1.7"
16,2004,NA,NA,"W.1","W.1.7"
17,2008,NA,NA,"W.1","W.1.7"
18,2005,NA,NA,"W.1","W.1.7"
19,2010,NA,NA,"W.1","W.1.7"
20,2002,NA,NA,"W.1","W.1.7"
1,2006,3,NA,"W.2","W.2.8"
2,2014,7,0,"W.2","W.2.8"
3,2014,0,0,"W.2","W.2.8"
4,2004,0,0,"W.2","W.2.8"
5,2014,NA,NA,"W.2","W.2.8"
6,2005,NA,NA,"W.2","W.2.8"
7,2010,NA,NA,"W.2","W.2.8"
8,2006,NA,NA,"W.2","W.2.8"
9,2009,NA,NA,"W.2","W.2.8"
10,2017,NA,NA,"W.2","W.2.8"
11,2018,NA,NA,"W.2","W.2.8"
12,2008,NA,NA,"W.2","W.2.8"
13,2006,NA,NA,"W.2","W.2.8"
14,2008,NA,NA,"W.2","W.2.8"
15,2014,NA,NA,"W.2","W.2.8"
16,2004,NA,NA,"W.2","W.2.8"
17,2008,NA,NA,"W.2","W.2.8"
18,2005,NA,NA,"W.2","W.2.8"
