"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp","InflYesNo"
1,2019,26,0,"E.5","E.5.1",1,1,0,0,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,0
2,2020,26,4,"E.5","E.5.1",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1
3,2015,36,5,"E.5","E.5.1",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,1
4,2012,18,42,"E.5","E.5.1",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1
5,2011,20,15,"E.5","E.5.1",1,1,1,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,1
6,2014,24,0,"E.5","E.5.1",1,1,1,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,0
7,2019,27,6,"E.5","E.5.1",1,1,1,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,1
8,2002,NA,NA,"E.5","E.5.1",1,0,0,1,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088,NA
1,2019,20,0,"E.2","E.2.2",1,1,0,0,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,0
2,2020,19,10,"E.2","E.2.2",1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968,1
3,2015,30,0,"E.2","E.2.2",1,1,1,1,128.8789997,137.0389996,426.7170105,12.9030003,2.045500085,15.3330009,0
4,2012,13,40,"E.2","E.2.2",1,1,1,1,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082,1
5,2011,18,14,"E.2","E.2.2",1,1,1,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,1
6,2014,16,0,"E.2","E.2.2",1,1,1,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,0
7,2019,23,3,"E.2","E.2.2",1,1,1,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,1
8,2002,16,0,"E.2","E.2.2",1,1,1,1,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088,0
9,2008,17,0,"E.2","E.2.2",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,0
10,2018,16,0,"E.2","E.2.2",1,1,1,1,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029,0
11,2017,NA,NA,"E.2","E.2.2",1,NA,0,0,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078,NA
