"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp","InflYesNo"
1,2011,22,0,"E.4","E.4.1",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.4","E.4.1",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.4","W.4.2",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.4","W.4.2",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.1","W.1.3",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.1","W.1.3",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"W.1","W.1.4",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.1","W.1.4",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"E.3","E.3.5",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,2,0,"E.3","E.3.5",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,0
3,2019,NA,NA,"E.3","E.3.5",1,0,0,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,NA
1,2011,1,0,"E.1","E.1.6",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.1","E.1.6",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,225,0,"E.2","E.2.7",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.2","E.2.7",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"W.4","W.4.8",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.4","W.4.8",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,22,0,"E.7","E.7.9",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.7","E.7.9",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"E.7","E.7.10",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.7","E.7.10",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,34,0,"W.3","W.3.11",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.3","W.3.11",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,201,0,"W.2","W.2.12",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.2","W.2.12",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,10,0,"E.1","E.1.13",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.1","E.1.13",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,177,0,"E.4","E.4.14",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.4","E.4.14",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.1","W.1.15",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.1","W.1.15",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,171,0,"W.3","W.3.16",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.3","W.3.16",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,100,0,"E.1","E.1.17",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,184,2692,"E.1","E.1.17",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1
3,2019,187,961,"E.1","E.1.17",1,1,1,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,1
4,2011,141,1221,"E.1","E.1.17",1,1,1,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,1
5,2019,187,315,"E.1","E.1.17",1,1,1,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,1
6,2007,NA,NA,"E.1","E.1.17",1,0,0,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072,NA
1,2011,1,0,"E.4","E.4.18",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.4","E.4.18",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"E.5","E.5.19",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.5","E.5.19",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.4","W.4.20",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.4","W.4.20",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"W.2","W.2.21",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.2","W.2.21",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.2","W.2.22",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.2","W.2.22",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.1","W.1.23",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.1","W.1.23",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,22,0,"E.3","E.3.24",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.3","E.3.24",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.4","W.4.25",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.4","W.4.25",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,10,0,"E.1","E.1.26",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,24,158,"E.1","E.1.26",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1
3,2019,NA,NA,"E.1","E.1.26",1,0,0,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,NA
1,2011,10,0,"W.5","W.5.27",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.5","W.5.27",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"W.1","W.1.28",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,11,86,"W.1","W.1.28",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1
3,2019,9,24,"W.1","W.1.28",1,1,1,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,1
4,2011,NA,NA,"W.1","W.1.28",1,0,0,1,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,NA
1,2011,10,0,"E.7","E.7.29",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.7","E.7.29",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.2","W.2.30",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.2","W.2.30",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"E.1","E.1.31",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.1","E.1.31",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"E.1","E.1.32",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.1","E.1.32",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.1","W.1.33",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.1","W.1.33",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"E.3","E.3.34",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.3","E.3.34",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"W.3","W.3.35",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.3","W.3.35",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"E.6","E.6.36",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.6","E.6.36",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,22,0,"W.1","W.1.37",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.1","W.1.37",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,10,0,"E.3","E.3.38",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.3","E.3.38",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"E.5","E.5.39",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.5","E.5.39",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"E.5","E.5.40",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.5","E.5.40",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.2","W.2.41",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.2","W.2.41",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,10,0,"E.3","E.3.42",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.3","E.3.42",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"W.2","W.2.43",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.2","W.2.43",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.4","W.4.44",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.4","W.4.44",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,10,0,"E.1","E.1.45",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.1","E.1.45",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.2","W.2.46",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.2","W.2.46",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,28,0,"W.2","W.2.47",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.2","W.2.47",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.4","W.4.48",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.4","W.4.48",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,28,0,"E.6","E.6.49",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.6","E.6.49",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"E.3","E.3.50",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.3","E.3.50",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"E.1","E.1.51",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.1","E.1.51",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"E.3","E.3.52",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,10,75,"E.3","E.3.52",1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,1
3,2019,NA,NA,"E.3","E.3.52",1,0,0,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486,NA
1,2011,1,0,"E.7","E.7.53",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.7","E.7.53",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"E.3","E.3.54",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.3","E.3.54",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,1,0,"W.4","W.4.55",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"W.4","W.4.55",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
1,2011,4,0,"E.7","E.7.56",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2008,NA,NA,"E.7","E.7.56",1,0,0,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068,NA
