"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp","InflYesNo"
1,2011,1,0,"E.5","E.5.1",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"E.5","E.5.1",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,1,0,"E.1","E.1.2",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"E.1","E.1.2",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,22,0,"W.3","W.3.3",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"W.3","W.3.3",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,1,0,"E.7","E.7.4",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"E.7","E.7.4",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,1,0,"E.2","E.2.5",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"E.2","E.2.5",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,4,0,"E.5","E.5.6",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"E.5","E.5.6",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,40,0,"W.1","W.1.7",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"W.1","W.1.7",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,1,0,"W.3","W.3.8",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"W.3","W.3.8",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,28,0,"E.5","E.5.9",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"E.5","E.5.9",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,1,0,"E.3","E.3.10",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"E.3","E.3.10",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,153,0,"W.4","W.4.11",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"W.4","W.4.11",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,124,0,"E.1","E.1.12",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"E.1","E.1.12",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,1,0,"W.2","W.2.13",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,NA,NA,"W.2","W.2.13",1,0,0,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,NA
1,2011,64,0,"E.6","E.6.14",1,1,0,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015,0
2,2014,100,534,"E.6","E.6.14",1,1,1,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001,1
