"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2004,23,NA,"E.2","E.2.1"
2,2007,32,0,"E.2","E.2.1"
3,2007,32,0,"E.2","E.2.1"
4,2016,18,12,"E.2","E.2.1"
5,2003,27,0,"E.2","E.2.1"
6,2011,0,0,"E.2","E.2.1"
7,2015,0,0,"E.2","E.2.1"
8,2009,NA,NA,"E.2","E.2.1"
9,2005,NA,NA,"E.2","E.2.1"
10,2011,NA,NA,"E.2","E.2.1"
11,2020,NA,NA,"E.2","E.2.1"
12,2005,NA,NA,"E.2","E.2.1"
13,2009,NA,NA,"E.2","E.2.1"
14,2020,NA,NA,"E.2","E.2.1"
15,2002,NA,NA,"E.2","E.2.1"
16,2008,NA,NA,"E.2","E.2.1"
17,2021,NA,NA,"E.2","E.2.1"
18,2002,NA,NA,"E.2","E.2.1"
19,2010,NA,NA,"E.2","E.2.1"
20,2017,NA,NA,"E.2","E.2.1"
1,2004,1,NA,"E.6","E.6.2"
2,2007,2,0,"E.6","E.6.2"
3,2007,4,0,"E.6","E.6.2"
4,2016,4,0,"E.6","E.6.2"
5,2003,3,0,"E.6","E.6.2"
6,2011,0,0,"E.6","E.6.2"
7,2015,0,0,"E.6","E.6.2"
8,2009,NA,NA,"E.6","E.6.2"
9,2005,NA,NA,"E.6","E.6.2"
10,2011,NA,NA,"E.6","E.6.2"
11,2020,NA,NA,"E.6","E.6.2"
12,2005,NA,NA,"E.6","E.6.2"
13,2009,NA,NA,"E.6","E.6.2"
14,2020,NA,NA,"E.6","E.6.2"
15,2002,NA,NA,"E.6","E.6.2"
16,2008,NA,NA,"E.6","E.6.2"
17,2021,NA,NA,"E.6","E.6.2"
18,2002,NA,NA,"E.6","E.6.2"
19,2010,NA,NA,"E.6","E.6.2"
20,2017,NA,NA,"E.6","E.6.2"
1,2004,20,NA,"W.5","W.5.3"
2,2007,22,9,"W.5","W.5.3"
3,2007,30,9,"W.5","W.5.3"
4,2016,12,5,"W.5","W.5.3"
5,2003,26,2,"W.5","W.5.3"
6,2011,14,0,"W.5","W.5.3"
7,2015,29,0,"W.5","W.5.3"
8,2009,18,52,"W.5","W.5.3"
9,2005,25,0,"W.5","W.5.3"
10,2011,16,6,"W.5","W.5.3"
11,2020,22,0,"W.5","W.5.3"
12,2005,24,0,"W.5","W.5.3"
13,2009,19,3,"W.5","W.5.3"
14,2020,18,36,"W.5","W.5.3"
15,2002,16,0,"W.5","W.5.3"
16,2008,24,0,"W.5","W.5.3"
17,2021,19,0,"W.5","W.5.3"
18,2002,0,0,"W.5","W.5.3"
19,2010,0,0,"W.5","W.5.3"
20,2017,NA,NA,"W.5","W.5.3"
1,2004,3,NA,"E.5","E.5.4"
2,2007,6,11,"E.5","E.5.4"
3,2007,8,0,"E.5","E.5.4"
4,2016,3,2,"E.5","E.5.4"
5,2003,8,1,"E.5","E.5.4"
6,2011,5,0,"E.5","E.5.4"
7,2015,11,0,"E.5","E.5.4"
8,2009,4,0,"E.5","E.5.4"
9,2005,5,0,"E.5","E.5.4"
10,2011,2,0,"E.5","E.5.4"
11,2020,5,0,"E.5","E.5.4"
12,2005,5,0,"E.5","E.5.4"
13,2009,1,1,"E.5","E.5.4"
14,2020,10,0,"E.5","E.5.4"
15,2002,0,0,"E.5","E.5.4"
16,2008,0,0,"E.5","E.5.4"
17,2021,NA,NA,"E.5","E.5.4"
18,2002,NA,NA,"E.5","E.5.4"
19,2010,NA,NA,"E.5","E.5.4"
20,2017,NA,NA,"E.5","E.5.4"
1,2004,14,NA,"E.4","E.4.5"
2,2007,18,8,"E.4","E.4.5"
3,2007,18,6,"E.4","E.4.5"
4,2016,10,1,"E.4","E.4.5"
5,2003,22,6,"E.4","E.4.5"
6,2011,0,0,"E.4","E.4.5"
7,2015,0,0,"E.4","E.4.5"
8,2009,NA,NA,"E.4","E.4.5"
9,2005,NA,NA,"E.4","E.4.5"
10,2011,NA,NA,"E.4","E.4.5"
11,2020,NA,NA,"E.4","E.4.5"
12,2005,NA,NA,"E.4","E.4.5"
13,2009,NA,NA,"E.4","E.4.5"
14,2020,NA,NA,"E.4","E.4.5"
15,2002,NA,NA,"E.4","E.4.5"
16,2008,NA,NA,"E.4","E.4.5"
17,2021,NA,NA,"E.4","E.4.5"
18,2002,NA,NA,"E.4","E.4.5"
19,2010,NA,NA,"E.4","E.4.5"
20,2017,NA,NA,"E.4","E.4.5"
1,2004,14,NA,"E.7","E.7.6"
2,2007,17,0,"E.7","E.7.6"
3,2007,18,3,"E.7","E.7.6"
4,2016,12,0,"E.7","E.7.6"
5,2003,21,0,"E.7","E.7.6"
6,2011,11,11,"E.7","E.7.6"
7,2015,23,0,"E.7","E.7.6"
8,2009,14,18,"E.7","E.7.6"
9,2005,18,0,"E.7","E.7.6"
10,2011,0,0,"E.7","E.7.6"
11,2020,0,0,"E.7","E.7.6"
12,2005,NA,NA,"E.7","E.7.6"
13,2009,NA,NA,"E.7","E.7.6"
14,2020,NA,NA,"E.7","E.7.6"
15,2002,NA,NA,"E.7","E.7.6"
16,2008,NA,NA,"E.7","E.7.6"
17,2021,NA,NA,"E.7","E.7.6"
18,2002,NA,NA,"E.7","E.7.6"
19,2010,NA,NA,"E.7","E.7.6"
20,2017,NA,NA,"E.7","E.7.6"
1,2004,1,NA,"W.2","W.2.7"
2,2007,4,0,"W.2","W.2.7"
3,2007,2,0,"W.2","W.2.7"
4,2016,2,0,"W.2","W.2.7"
5,2003,2,0,"W.2","W.2.7"
6,2011,2,0,"W.2","W.2.7"
7,2015,5,0,"W.2","W.2.7"
8,2009,1,3,"W.2","W.2.7"
9,2005,5,0,"W.2","W.2.7"
10,2011,1,0,"W.2","W.2.7"
11,2020,3,0,"W.2","W.2.7"
12,2005,1,0,"W.2","W.2.7"
13,2009,1,0,"W.2","W.2.7"
14,2020,1,0,"W.2","W.2.7"
15,2002,0,0,"W.2","W.2.7"
16,2008,0,0,"W.2","W.2.7"
17,2021,NA,NA,"W.2","W.2.7"
18,2002,NA,NA,"W.2","W.2.7"
19,2010,NA,NA,"W.2","W.2.7"
20,2017,NA,NA,"W.2","W.2.7"
1,2004,5,NA,"E.5","E.5.8"
2,2007,10,0,"E.5","E.5.8"
3,2007,0,0,"E.5","E.5.8"
4,2016,0,0,"E.5","E.5.8"
5,2003,NA,NA,"E.5","E.5.8"
6,2011,NA,NA,"E.5","E.5.8"
7,2015,NA,NA,"E.5","E.5.8"
8,2009,NA,NA,"E.5","E.5.8"
9,2005,NA,NA,"E.5","E.5.8"
10,2011,NA,NA,"E.5","E.5.8"
11,2020,NA,NA,"E.5","E.5.8"
12,2005,NA,NA,"E.5","E.5.8"
13,2009,NA,NA,"E.5","E.5.8"
14,2020,NA,NA,"E.5","E.5.8"
15,2002,NA,NA,"E.5","E.5.8"
16,2008,NA,NA,"E.5","E.5.8"
17,2021,NA,NA,"E.5","E.5.8"
18,2002,NA,NA,"E.5","E.5.8"
19,2010,NA,NA,"E.5","E.5.8"
20,2017,NA,NA,"E.5","E.5.8"
1,2004,20,NA,"E.6","E.6.9"
2,2007,25,21,"E.6","E.6.9"
3,2007,26,0,"E.6","E.6.9"
4,2016,16,2,"E.6","E.6.9"
5,2003,26,6,"E.6","E.6.9"
6,2011,0,0,"E.6","E.6.9"
7,2015,0,0,"E.6","E.6.9"
8,2009,NA,NA,"E.6","E.6.9"
9,2005,NA,NA,"E.6","E.6.9"
10,2011,NA,NA,"E.6","E.6.9"
11,2020,NA,NA,"E.6","E.6.9"
12,2005,NA,NA,"E.6","E.6.9"
13,2009,NA,NA,"E.6","E.6.9"
14,2020,NA,NA,"E.6","E.6.9"
15,2002,NA,NA,"E.6","E.6.9"
16,2008,NA,NA,"E.6","E.6.9"
17,2021,NA,NA,"E.6","E.6.9"
18,2002,NA,NA,"E.6","E.6.9"
19,2010,NA,NA,"E.6","E.6.9"
20,2017,NA,NA,"E.6","E.6.9"
1,2004,32,NA,"W.3","W.3.10"
2,2007,38,17,"W.3","W.3.10"
3,2007,0,0,"W.3","W.3.10"
4,2016,0,0,"W.3","W.3.10"
5,2003,NA,NA,"W.3","W.3.10"
6,2011,NA,NA,"W.3","W.3.10"
7,2015,NA,NA,"W.3","W.3.10"
8,2009,NA,NA,"W.3","W.3.10"
9,2005,NA,NA,"W.3","W.3.10"
10,2011,NA,NA,"W.3","W.3.10"
11,2020,NA,NA,"W.3","W.3.10"
12,2005,NA,NA,"W.3","W.3.10"
13,2009,NA,NA,"W.3","W.3.10"
14,2020,NA,NA,"W.3","W.3.10"
15,2002,NA,NA,"W.3","W.3.10"
16,2008,NA,NA,"W.3","W.3.10"
17,2021,NA,NA,"W.3","W.3.10"
18,2002,NA,NA,"W.3","W.3.10"
19,2010,NA,NA,"W.3","W.3.10"
20,2017,NA,NA,"W.3","W.3.10"
1,2004,23,NA,"E.4","E.4.11"
2,2007,30,3,"E.4","E.4.11"
3,2007,28,0,"E.4","E.4.11"
4,2016,17,7,"E.4","E.4.11"
5,2003,28,34,"E.4","E.4.11"
6,2011,0,0,"E.4","E.4.11"
7,2015,0,0,"E.4","E.4.11"
8,2009,NA,NA,"E.4","E.4.11"
9,2005,NA,NA,"E.4","E.4.11"
