"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2006,249,NA,"E.3","E.3.1"
2,2006,0,0,"E.3","E.3.1"
3,2008,0,0,"E.3","E.3.1"
4,2008,NA,NA,"E.3","E.3.1"
5,2021,NA,NA,"E.3","E.3.1"
6,2015,NA,NA,"E.3","E.3.1"
7,2009,NA,NA,"E.3","E.3.1"
8,2013,NA,NA,"E.3","E.3.1"
9,2011,NA,NA,"E.3","E.3.1"
10,2013,NA,NA,"E.3","E.3.1"
11,2020,NA,NA,"E.3","E.3.1"
12,2019,NA,NA,"E.3","E.3.1"
13,2005,NA,NA,"E.3","E.3.1"
14,2013,NA,NA,"E.3","E.3.1"
15,2021,NA,NA,"E.3","E.3.1"
16,2008,NA,NA,"E.3","E.3.1"
17,2017,NA,NA,"E.3","E.3.1"
18,2018,NA,NA,"E.3","E.3.1"
19,2015,NA,NA,"E.3","E.3.1"
20,2002,NA,NA,"E.3","E.3.1"
1,2006,237,NA,"E.2","E.2.2"
2,2006,221,135,"E.2","E.2.2"
3,2008,256,130,"E.2","E.2.2"
4,2008,258,68,"E.2","E.2.2"
5,2021,272,34,"E.2","E.2.2"
6,2015,300,189,"E.2","E.2.2"
7,2009,222,365,"E.2","E.2.2"
8,2013,0,0,"E.2","E.2.2"
9,2011,0,0,"E.2","E.2.2"
10,2013,NA,NA,"E.2","E.2.2"
11,2020,NA,NA,"E.2","E.2.2"
12,2019,NA,NA,"E.2","E.2.2"
13,2005,NA,NA,"E.2","E.2.2"
14,2013,NA,NA,"E.2","E.2.2"
15,2021,NA,NA,"E.2","E.2.2"
16,2008,NA,NA,"E.2","E.2.2"
17,2017,NA,NA,"E.2","E.2.2"
18,2018,NA,NA,"E.2","E.2.2"
19,2015,NA,NA,"E.2","E.2.2"
20,2002,NA,NA,"E.2","E.2.2"
1,2006,1,NA,"W.5","W.5.3"
2,2006,0,0,"W.5","W.5.3"
3,2008,0,0,"W.5","W.5.3"
4,2008,NA,NA,"W.5","W.5.3"
5,2021,NA,NA,"W.5","W.5.3"
6,2015,NA,NA,"W.5","W.5.3"
7,2009,NA,NA,"W.5","W.5.3"
8,2013,NA,NA,"W.5","W.5.3"
9,2011,NA,NA,"W.5","W.5.3"
10,2013,NA,NA,"W.5","W.5.3"
11,2020,NA,NA,"W.5","W.5.3"
12,2019,NA,NA,"W.5","W.5.3"
13,2005,NA,NA,"W.5","W.5.3"
14,2013,NA,NA,"W.5","W.5.3"
15,2021,NA,NA,"W.5","W.5.3"
16,2008,NA,NA,"W.5","W.5.3"
17,2017,NA,NA,"W.5","W.5.3"
18,2018,NA,NA,"W.5","W.5.3"
19,2015,NA,NA,"W.5","W.5.3"
