"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","InflYesNo","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp"
1,2008,17,NA,"E.6","E.6.1",1,1,0,0,NA,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068
2,2009,18,0,"E.6","E.6.1",1,1,1,1,0,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044
3,2014,18,3,"E.6","E.6.1",1,1,1,1,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001
4,2019,23,1,"E.6","E.6.1",1,1,1,1,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486
5,2007,31,0,"E.6","E.6.1",1,1,1,1,0,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072
6,2018,13,11,"E.6","E.6.1",1,1,1,1,1,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029
7,2007,28,2,"E.6","E.6.1",1,1,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072
8,2018,13,3,"E.6","E.6.1",1,1,1,1,1,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029
9,2019,19,0,"E.6","E.6.1",1,1,1,1,0,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486
10,2020,16,13,"E.6","E.6.1",1,1,1,1,1,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968
11,2013,NA,NA,"E.6","E.6.1",1,NA,0,0,NA,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105
12,2002,14,0,"E.6","E.6.1",1,1,2,2,0,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088
13,2011,NA,NA,"E.6","E.6.1",1,NA,0,0,NA,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015
14,2010,30,0,"E.6","E.6.1",1,1,2,2,0,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
15,2019,NA,NA,"E.6","E.6.1",1,NA,0,0,NA,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486
16,2018,NA,NA,"E.6","E.6.1",1,0,0,2,NA,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029
1,2008,8,NA,"E.3","E.3.2",1,1,0,0,NA,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068
2,2009,11,0,"E.3","E.3.2",1,1,1,1,0,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044
3,2014,8,0,"E.3","E.3.2",1,1,1,1,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001
4,2019,10,0,"E.3","E.3.2",1,1,1,1,0,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486
5,2007,12,0,"E.3","E.3.2",1,1,1,1,0,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072
6,2018,10,0,"E.3","E.3.2",1,1,1,1,0,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029
7,2007,18,9,"E.3","E.3.2",1,1,1,1,1,167.9129987,110.2059994,271.3629971,12.09250057,0.578000057,15.22200072
8,2018,5,0,"E.3","E.3.2",1,1,1,1,0,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029
9,2019,13,0,"E.3","E.3.2",1,1,1,1,0,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486
10,2020,10,0,"E.3","E.3.2",1,1,1,1,0,120.4289989,71.71000051,138.3840027,13.07759964,1.729474932,16.15969968
11,2013,NA,NA,"E.3","E.3.2",1,NA,0,0,NA,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105
12,2002,11,0,"E.3","E.3.2",1,1,2,2,0,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088
