"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","InflYesNo","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp"
1,2010,1,NA,"W.1","W.1.1",1,1,0,0,NA,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
2,2016,1,0,"W.1","W.1.1",1,1,1,1,0,116.2959976,62.17699909,247.020998,14.68625033,2.502000123,16.16900063
3,2010,NA,NA,"W.1","W.1.1",1,0,0,1,NA,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
1,2010,3,NA,"E.2","E.2.2",1,1,0,0,NA,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
2,2016,5,202,"E.2","E.2.2",1,1,1,1,1,116.2959976,62.17699909,247.020998,14.68625033,2.502000123,16.16900063
3,2010,11,94,"E.2","E.2.2",1,1,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
4,2017,8,0,"E.2","E.2.2",1,1,1,1,0,117.0090003,60.41499996,326.3449955,14.64600086,2.886750179,15.50900078
5,2010,7,279,"E.2","E.2.2",1,1,1,1,1,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
6,2006,NA,NA,"E.2","E.2.2",1,0,0,1,NA,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068
1,2010,1,NA,"E.2","E.2.3",1,1,0,0,NA,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
2,2016,NA,NA,"E.2","E.2.3",1,0,0,1,NA,116.2959976,62.17699909,247.020998,14.68625033,2.502000123,16.16900063
1,2010,3,NA,"W.2","W.2.4",1,1,0,0,NA,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
2,2016,NA,NA,"W.2","W.2.4",1,0,0,1,NA,116.2959976,62.17699909,247.020998,14.68625033,2.502000123,16.16900063
1,2010,11,NA,"W.5","W.5.5",1,1,0,0,NA,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
2,2016,9,1266,"W.5","W.5.5",1,1,1,1,1,116.2959976,62.17699909,247.020998,14.68625033,2.502000123,16.16900063
3,2010,NA,NA,"W.5","W.5.5",1,0,0,1,NA,180.8910007,124.4659953,137.6860008,11.81425035,-0.230499998,15.91625047
