"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2011,1,NA,"E.6","E.6.1"
2,2019,0,0,"E.6","E.6.1"
3,2013,0,0,"E.6","E.6.1"
4,2015,NA,NA,"E.6","E.6.1"
5,2008,NA,NA,"E.6","E.6.1"
6,2008,NA,NA,"E.6","E.6.1"
7,2008,NA,NA,"E.6","E.6.1"
8,2011,NA,NA,"E.6","E.6.1"
9,2021,NA,NA,"E.6","E.6.1"
10,2004,NA,NA,"E.6","E.6.1"
11,2013,NA,NA,"E.6","E.6.1"
12,2011,NA,NA,"E.6","E.6.1"
13,2020,NA,NA,"E.6","E.6.1"
14,2006,NA,NA,"E.6","E.6.1"
15,2017,NA,NA,"E.6","E.6.1"
16,2008,NA,NA,"E.6","E.6.1"
17,2014,NA,NA,"E.6","E.6.1"
18,2020,NA,NA,"E.6","E.6.1"
19,2015,NA,NA,"E.6","E.6.1"
20,2006,NA,NA,"E.6","E.6.1"
1,2011,3,NA,"E.7","E.7.2"
2,2019,7,0,"E.7","E.7.2"
3,2013,0,0,"E.7","E.7.2"
4,2015,0,0,"E.7","E.7.2"
5,2008,NA,NA,"E.7","E.7.2"
6,2008,NA,NA,"E.7","E.7.2"
7,2008,NA,NA,"E.7","E.7.2"
8,2011,NA,NA,"E.7","E.7.2"
9,2021,NA,NA,"E.7","E.7.2"
10,2004,NA,NA,"E.7","E.7.2"
11,2013,NA,NA,"E.7","E.7.2"
12,2011,NA,NA,"E.7","E.7.2"
13,2020,NA,NA,"E.7","E.7.2"
14,2006,NA,NA,"E.7","E.7.2"
15,2017,NA,NA,"E.7","E.7.2"
16,2008,NA,NA,"E.7","E.7.2"
17,2014,NA,NA,"E.7","E.7.2"
18,2020,NA,NA,"E.7","E.7.2"
19,2015,NA,NA,"E.7","E.7.2"
20,2006,NA,NA,"E.7","E.7.2"
1,2011,3,NA,"W.3","W.3.3"
2,2019,0,0,"W.3","W.3.3"
3,2013,0,0,"W.3","W.3.3"
4,2015,NA,NA,"W.3","W.3.3"
5,2008,NA,NA,"W.3","W.3.3"
6,2008,NA,NA,"W.3","W.3.3"
7,2008,NA,NA,"W.3","W.3.3"
8,2011,NA,NA,"W.3","W.3.3"
9,2021,NA,NA,"W.3","W.3.3"
10,2004,NA,NA,"W.3","W.3.3"
11,2013,NA,NA,"W.3","W.3.3"
12,2011,NA,NA,"W.3","W.3.3"
13,2020,NA,NA,"W.3","W.3.3"
14,2006,NA,NA,"W.3","W.3.3"
15,2017,NA,NA,"W.3","W.3.3"
16,2008,NA,NA,"W.3","W.3.3"
17,2014,NA,NA,"W.3","W.3.3"
18,2020,NA,NA,"W.3","W.3.3"
19,2015,NA,NA,"W.3","W.3.3"
20,2006,NA,NA,"W.3","W.3.3"
1,2011,1,NA,"E.7","E.7.4"
2,2019,0,0,"E.7","E.7.4"
3,2013,0,0,"E.7","E.7.4"
4,2015,NA,NA,"E.7","E.7.4"
5,2008,NA,NA,"E.7","E.7.4"
6,2008,NA,NA,"E.7","E.7.4"
7,2008,NA,NA,"E.7","E.7.4"
8,2011,NA,NA,"E.7","E.7.4"
9,2021,NA,NA,"E.7","E.7.4"
10,2004,NA,NA,"E.7","E.7.4"
11,2013,NA,NA,"E.7","E.7.4"
12,2011,NA,NA,"E.7","E.7.4"
13,2020,NA,NA,"E.7","E.7.4"
14,2006,NA,NA,"E.7","E.7.4"
15,2017,NA,NA,"E.7","E.7.4"
16,2008,NA,NA,"E.7","E.7.4"
17,2014,NA,NA,"E.7","E.7.4"
18,2020,NA,NA,"E.7","E.7.4"
19,2015,NA,NA,"E.7","E.7.4"
20,2006,NA,NA,"E.7","E.7.4"
1,2011,3,NA,"E.3","E.3.5"
2,2019,7,0,"E.3","E.3.5"
3,2013,0,0,"E.3","E.3.5"
4,2015,0,0,"E.3","E.3.5"
5,2008,NA,NA,"E.3","E.3.5"
6,2008,NA,NA,"E.3","E.3.5"
7,2008,NA,NA,"E.3","E.3.5"
8,2011,NA,NA,"E.3","E.3.5"
9,2021,NA,NA,"E.3","E.3.5"
10,2004,NA,NA,"E.3","E.3.5"
11,2013,NA,NA,"E.3","E.3.5"
12,2011,NA,NA,"E.3","E.3.5"
13,2020,NA,NA,"E.3","E.3.5"
14,2006,NA,NA,"E.3","E.3.5"
15,2017,NA,NA,"E.3","E.3.5"
16,2008,NA,NA,"E.3","E.3.5"
17,2014,NA,NA,"E.3","E.3.5"
18,2020,NA,NA,"E.3","E.3.5"
19,2015,NA,NA,"E.3","E.3.5"
20,2006,NA,NA,"E.3","E.3.5"
1,2011,1,NA,"W.1","W.1.6"
2,2019,3,0,"W.1","W.1.6"
3,2013,0,0,"W.1","W.1.6"
4,2015,0,0,"W.1","W.1.6"
5,2008,NA,NA,"W.1","W.1.6"
6,2008,NA,NA,"W.1","W.1.6"
7,2008,NA,NA,"W.1","W.1.6"
8,2011,NA,NA,"W.1","W.1.6"
9,2021,NA,NA,"W.1","W.1.6"
10,2004,NA,NA,"W.1","W.1.6"
11,2013,NA,NA,"W.1","W.1.6"
12,2011,NA,NA,"W.1","W.1.6"
13,2020,NA,NA,"W.1","W.1.6"
14,2006,NA,NA,"W.1","W.1.6"
15,2017,NA,NA,"W.1","W.1.6"
16,2008,NA,NA,"W.1","W.1.6"
17,2014,NA,NA,"W.1","W.1.6"
18,2020,NA,NA,"W.1","W.1.6"
19,2015,NA,NA,"W.1","W.1.6"
20,2006,NA,NA,"W.1","W.1.6"
1,2011,1,NA,"E.6","E.6.7"
2,2019,1,0,"E.6","E.6.7"
3,2013,0,0,"E.6","E.6.7"
4,2015,0,0,"E.6","E.6.7"
5,2008,NA,NA,"E.6","E.6.7"
6,2008,NA,NA,"E.6","E.6.7"
7,2008,NA,NA,"E.6","E.6.7"
8,2011,NA,NA,"E.6","E.6.7"
9,2021,NA,NA,"E.6","E.6.7"
10,2004,NA,NA,"E.6","E.6.7"
11,2013,NA,NA,"E.6","E.6.7"
