"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2016,163,NA,"E.3","E.3.1"
2,2021,600,189,"E.3","E.3.1"
3,2012,104,56,"E.3","E.3.1"
4,2005,159,199,"E.3","E.3.1"
5,2014,99,71,"E.3","E.3.1"
6,2008,131,66,"E.3","E.3.1"
7,2005,177,17,"E.3","E.3.1"
8,2014,136,196,"E.3","E.3.1"
9,2018,0,0,"E.3","E.3.1"
10,2021,0,0,"E.3","E.3.1"
11,2002,NA,NA,"E.3","E.3.1"
12,2007,NA,NA,"E.3","E.3.1"
13,2019,NA,NA,"E.3","E.3.1"
14,2017,NA,NA,"E.3","E.3.1"
15,2005,NA,NA,"E.3","E.3.1"
16,2016,NA,NA,"E.3","E.3.1"
17,2016,NA,NA,"E.3","E.3.1"
18,2014,NA,NA,"E.3","E.3.1"
19,2006,NA,NA,"E.3","E.3.1"
20,2010,NA,NA,"E.3","E.3.1"
1,2016,79,NA,"E.5","E.5.2"
2,2021,0,0,"E.5","E.5.2"
3,2012,0,0,"E.5","E.5.2"
4,2005,NA,NA,"E.5","E.5.2"
5,2014,NA,NA,"E.5","E.5.2"
6,2008,NA,NA,"E.5","E.5.2"
7,2005,NA,NA,"E.5","E.5.2"
8,2014,NA,NA,"E.5","E.5.2"
9,2018,NA,NA,"E.5","E.5.2"
10,2021,NA,NA,"E.5","E.5.2"
11,2002,NA,NA,"E.5","E.5.2"
12,2007,NA,NA,"E.5","E.5.2"
13,2019,NA,NA,"E.5","E.5.2"
14,2017,NA,NA,"E.5","E.5.2"
15,2005,NA,NA,"E.5","E.5.2"
16,2016,NA,NA,"E.5","E.5.2"
17,2016,NA,NA,"E.5","E.5.2"
18,2014,NA,NA,"E.5","E.5.2"
19,2006,NA,NA,"E.5","E.5.2"
20,2010,NA,NA,"E.5","E.5.2"
1,2016,7,NA,"E.7","E.7.3"
2,2021,0,0,"E.7","E.7.3"
3,2012,0,0,"E.7","E.7.3"
4,2005,NA,NA,"E.7","E.7.3"
5,2014,NA,NA,"E.7","E.7.3"
6,2008,NA,NA,"E.7","E.7.3"
7,2005,NA,NA,"E.7","E.7.3"
8,2014,NA,NA,"E.7","E.7.3"
9,2018,NA,NA,"E.7","E.7.3"
10,2021,NA,NA,"E.7","E.7.3"
11,2002,NA,NA,"E.7","E.7.3"
12,2007,NA,NA,"E.7","E.7.3"
13,2019,NA,NA,"E.7","E.7.3"
14,2017,NA,NA,"E.7","E.7.3"
15,2005,NA,NA,"E.7","E.7.3"
16,2016,NA,NA,"E.7","E.7.3"
17,2016,NA,NA,"E.7","E.7.3"
18,2014,NA,NA,"E.7","E.7.3"
19,2006,NA,NA,"E.7","E.7.3"
20,2010,NA,NA,"E.7","E.7.3"
1,2016,7,NA,"W.5","W.5.4"
2,2021,34,1,"W.5","W.5.4"
3,2012,0,0,"W.5","W.5.4"
4,2005,0,0,"W.5","W.5.4"
5,2014,NA,NA,"W.5","W.5.4"
6,2008,NA,NA,"W.5","W.5.4"
7,2005,NA,NA,"W.5","W.5.4"
8,2014,NA,NA,"W.5","W.5.4"
9,2018,NA,NA,"W.5","W.5.4"
10,2021,NA,NA,"W.5","W.5.4"
11,2002,NA,NA,"W.5","W.5.4"
12,2007,NA,NA,"W.5","W.5.4"
13,2019,NA,NA,"W.5","W.5.4"
14,2017,NA,NA,"W.5","W.5.4"
15,2005,NA,NA,"W.5","W.5.4"
16,2016,NA,NA,"W.5","W.5.4"
17,2016,NA,NA,"W.5","W.5.4"
18,2014,NA,NA,"W.5","W.5.4"
19,2006,NA,NA,"W.5","W.5.4"
20,2010,NA,NA,"W.5","W.5.4"
1,2016,19,NA,"W.2","W.2.5"
2,2021,46,4,"W.2","W.2.5"
3,2012,0,0,"W.2","W.2.5"
4,2005,0,0,"W.2","W.2.5"
5,2014,NA,NA,"W.2","W.2.5"
6,2008,NA,NA,"W.2","W.2.5"
7,2005,NA,NA,"W.2","W.2.5"
8,2014,NA,NA,"W.2","W.2.5"
9,2018,NA,NA,"W.2","W.2.5"
10,2021,NA,NA,"W.2","W.2.5"
11,2002,NA,NA,"W.2","W.2.5"
12,2007,NA,NA,"W.2","W.2.5"
13,2019,NA,NA,"W.2","W.2.5"
14,2017,NA,NA,"W.2","W.2.5"
15,2005,NA,NA,"W.2","W.2.5"
16,2016,NA,NA,"W.2","W.2.5"
17,2016,NA,NA,"W.2","W.2.5"
18,2014,NA,NA,"W.2","W.2.5"
19,2006,NA,NA,"W.2","W.2.5"
20,2010,NA,NA,"W.2","W.2.5"
1,2016,79,NA,"E.3","E.3.6"
2,2021,98,33,"E.3","E.3.6"
3,2012,37,47,"E.3","E.3.6"
4,2005,82,66,"E.3","E.3.6"
5,2014,56,66,"E.3","E.3.6"
6,2008,62,42,"E.3","E.3.6"
7,2005,34,15,"E.3","E.3.6"
8,2014,60,28,"E.3","E.3.6"
9,2018,185,23,"E.3","E.3.6"
10,2021,76,12,"E.3","E.3.6"
11,2002,239,27,"E.3","E.3.6"
12,2007,143,40,"E.3","E.3.6"
13,2019,129,77,"E.3","E.3.6"
14,2017,123,3,"E.3","E.3.6"
15,2005,66,48,"E.3","E.3.6"
16,2016,0,0,"E.3","E.3.6"
17,2016,0,0,"E.3","E.3.6"
18,2014,NA,NA,"E.3","E.3.6"
19,2006,NA,NA,"E.3","E.3.6"
20,2010,NA,NA,"E.3","E.3.6"
1,2016,223,NA,"E.2","E.2.7"
2,2021,208,58,"E.2","E.2.7"
3,2012,162,20,"E.2","E.2.7"
4,2005,295,199,"E.2","E.2.7"
5,2014,253,100,"E.2","E.2.7"
6,2008,150,67,"E.2","E.2.7"
7,2005,368,21,"E.2","E.2.7"
8,2014,107,150,"E.2","E.2.7"
9,2018,234,22,"E.2","E.2.7"
10,2021,234,89,"E.2","E.2.7"
11,2002,133,180,"E.2","E.2.7"
12,2007,87,58,"E.2","E.2.7"
13,2019,0,0,"E.2","E.2.7"
14,2017,0,0,"E.2","E.2.7"
15,2005,NA,NA,"E.2","E.2.7"
16,2016,NA,NA,"E.2","E.2.7"
17,2016,NA,NA,"E.2","E.2.7"
18,2014,NA,NA,"E.2","E.2.7"
19,2006,NA,NA,"E.2","E.2.7"
20,2010,NA,NA,"E.2","E.2.7"
1,2016,1,NA,"W.1","W.1.8"
2,2021,0,0,"W.1","W.1.8"
3,2012,0,0,"W.1","W.1.8"
4,2005,NA,NA,"W.1","W.1.8"
5,2014,NA,NA,"W.1","W.1.8"
6,2008,NA,NA,"W.1","W.1.8"
7,2005,NA,NA,"W.1","W.1.8"
8,2014,NA,NA,"W.1","W.1.8"
9,2018,NA,NA,"W.1","W.1.8"
10,2021,NA,NA,"W.1","W.1.8"
11,2002,NA,NA,"W.1","W.1.8"
12,2007,NA,NA,"W.1","W.1.8"
13,2019,NA,NA,"W.1","W.1.8"
14,2017,NA,NA,"W.1","W.1.8"
15,2005,NA,NA,"W.1","W.1.8"
16,2016,NA,NA,"W.1","W.1.8"
17,2016,NA,NA,"W.1","W.1.8"
