"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2013,35,NA,"E.4","E.4.1"
2,2007,69,0,"E.4","E.4.1"
3,2013,13,8,"E.4","E.4.1"
4,2004,6,1,"E.4","E.4.1"
5,2015,49,33,"E.4","E.4.1"
6,2020,25,37,"E.4","E.4.1"
7,2013,0,0,"E.4","E.4.1"
8,2019,0,0,"E.4","E.4.1"
9,2015,NA,NA,"E.4","E.4.1"
10,2018,NA,NA,"E.4","E.4.1"
11,2004,NA,NA,"E.4","E.4.1"
12,2010,NA,NA,"E.4","E.4.1"
13,2011,NA,NA,"E.4","E.4.1"
14,2018,NA,NA,"E.4","E.4.1"
15,2015,NA,NA,"E.4","E.4.1"
16,2012,NA,NA,"E.4","E.4.1"
17,2020,NA,NA,"E.4","E.4.1"
18,2007,NA,NA,"E.4","E.4.1"
19,2019,NA,NA,"E.4","E.4.1"
20,2003,NA,NA,"E.4","E.4.1"
1,2013,17,NA,"E.5","E.5.2"
2,2007,12,0,"E.5","E.5.2"
3,2013,0,0,"E.5","E.5.2"
4,2004,0,0,"E.5","E.5.2"
5,2015,NA,NA,"E.5","E.5.2"
6,2020,NA,NA,"E.5","E.5.2"
7,2013,NA,NA,"E.5","E.5.2"
8,2019,NA,NA,"E.5","E.5.2"
9,2015,NA,NA,"E.5","E.5.2"
10,2018,NA,NA,"E.5","E.5.2"
11,2004,NA,NA,"E.5","E.5.2"
12,2010,NA,NA,"E.5","E.5.2"
13,2011,NA,NA,"E.5","E.5.2"
14,2018,NA,NA,"E.5","E.5.2"
15,2015,NA,NA,"E.5","E.5.2"
16,2012,NA,NA,"E.5","E.5.2"
17,2020,NA,NA,"E.5","E.5.2"
18,2007,NA,NA,"E.5","E.5.2"
19,2019,NA,NA,"E.5","E.5.2"
20,2003,NA,NA,"E.5","E.5.2"
1,2013,29,NA,"E.3","E.3.3"
2,2007,30,0,"E.3","E.3.3"
3,2013,19,31,"E.3","E.3.3"
4,2004,27,13,"E.3","E.3.3"
5,2015,52,18,"E.3","E.3.3"
6,2020,29,18,"E.3","E.3.3"
7,2013,22,4,"E.3","E.3.3"
8,2019,18,9,"E.3","E.3.3"
9,2015,46,0,"E.3","E.3.3"
10,2018,7,29,"E.3","E.3.3"
11,2004,26,11,"E.3","E.3.3"
12,2010,33,19,"E.3","E.3.3"
13,2011,32,4,"E.3","E.3.3"
14,2018,40,0,"E.3","E.3.3"
15,2015,53,15,"E.3","E.3.3"
16,2012,21,0,"E.3","E.3.3"
17,2020,23,7,"E.3","E.3.3"
18,2007,11,17,"E.3","E.3.3"
19,2019,50,0,"E.3","E.3.3"
20,2003,26,3,"E.3","E.3.3"
1,2013,1,NA,"W.4","W.4.4"
2,2007,4,0,"W.4","W.4.4"
3,2013,0,0,"W.4","W.4.4"
4,2004,0,0,"W.4","W.4.4"
5,2015,NA,NA,"W.4","W.4.4"
6,2020,NA,NA,"W.4","W.4.4"
7,2013,NA,NA,"W.4","W.4.4"
8,2019,NA,NA,"W.4","W.4.4"
9,2015,NA,NA,"W.4","W.4.4"
10,2018,NA,NA,"W.4","W.4.4"
11,2004,NA,NA,"W.4","W.4.4"
12,2010,NA,NA,"W.4","W.4.4"
13,2011,NA,NA,"W.4","W.4.4"
14,2018,NA,NA,"W.4","W.4.4"
15,2015,NA,NA,"W.4","W.4.4"
16,2012,NA,NA,"W.4","W.4.4"
17,2020,NA,NA,"W.4","W.4.4"
18,2007,NA,NA,"W.4","W.4.4"
19,2019,NA,NA,"W.4","W.4.4"
20,2003,NA,NA,"W.4","W.4.4"
1,2013,14,NA,"E.6","E.6.5"
2,2007,11,0,"E.6","E.6.5"
3,2013,0,0,"E.6","E.6.5"
4,2004,0,0,"E.6","E.6.5"
5,2015,NA,NA,"E.6","E.6.5"
6,2020,NA,NA,"E.6","E.6.5"
7,2013,NA,NA,"E.6","E.6.5"
8,2019,NA,NA,"E.6","E.6.5"
9,2015,NA,NA,"E.6","E.6.5"
10,2018,NA,NA,"E.6","E.6.5"
11,2004,NA,NA,"E.6","E.6.5"
12,2010,NA,NA,"E.6","E.6.5"
13,2011,NA,NA,"E.6","E.6.5"
14,2018,NA,NA,"E.6","E.6.5"
15,2015,NA,NA,"E.6","E.6.5"
16,2012,NA,NA,"E.6","E.6.5"
17,2020,NA,NA,"E.6","E.6.5"
18,2007,NA,NA,"E.6","E.6.5"
19,2019,NA,NA,"E.6","E.6.5"
20,2003,NA,NA,"E.6","E.6.5"
1,2013,17,NA,"E.1","E.1.6"
2,2007,21,1,"E.1","E.1.6"
3,2013,23,3,"E.1","E.1.6"
4,2004,43,2,"E.1","E.1.6"
5,2015,25,15,"E.1","E.1.6"
6,2020,5,17,"E.1","E.1.6"
7,2013,13,7,"E.1","E.1.6"
8,2019,39,0,"E.1","E.1.6"
9,2015,49,0,"E.1","E.1.6"
10,2018,14,0,"E.1","E.1.6"
11,2004,7,4,"E.1","E.1.6"
12,2010,37,0,"E.1","E.1.6"
13,2011,17,7,"E.1","E.1.6"
14,2018,16,0,"E.1","E.1.6"
15,2015,14,1,"E.1","E.1.6"
16,2012,27,15,"E.1","E.1.6"
17,2020,18,7,"E.1","E.1.6"
18,2007,18,4,"E.1","E.1.6"
19,2019,4,18,"E.1","E.1.6"
20,2003,9,0,"E.1","E.1.6"
1,2013,17,NA,"E.6","E.6.7"
2,2007,51,0,"E.6","E.6.7"
3,2013,22,7,"E.6","E.6.7"
4,2004,0,0,"E.6","E.6.7"
5,2015,0,0,"E.6","E.6.7"
6,2020,NA,NA,"E.6","E.6.7"
7,2013,NA,NA,"E.6","E.6.7"
8,2019,NA,NA,"E.6","E.6.7"
9,2015,NA,NA,"E.6","E.6.7"
10,2018,NA,NA,"E.6","E.6.7"
11,2004,NA,NA,"E.6","E.6.7"
12,2010,NA,NA,"E.6","E.6.7"
13,2011,NA,NA,"E.6","E.6.7"
14,2018,NA,NA,"E.6","E.6.7"
15,2015,NA,NA,"E.6","E.6.7"
16,2012,NA,NA,"E.6","E.6.7"
