"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2014,1,NA,"E.6","E.6.1"
2,2014,3,39,"E.6","E.6.1"
3,2019,0,0,"E.6","E.6.1"
4,2009,0,0,"E.6","E.6.1"
5,2011,NA,NA,"E.6","E.6.1"
6,2006,NA,NA,"E.6","E.6.1"
7,2011,NA,NA,"E.6","E.6.1"
8,2021,NA,NA,"E.6","E.6.1"
9,2004,NA,NA,"E.6","E.6.1"
10,2005,NA,NA,"E.6","E.6.1"
11,2016,NA,NA,"E.6","E.6.1"
12,2008,NA,NA,"E.6","E.6.1"
13,2013,NA,NA,"E.6","E.6.1"
14,2021,NA,NA,"E.6","E.6.1"
15,2006,NA,NA,"E.6","E.6.1"
16,2017,NA,NA,"E.6","E.6.1"
17,2020,NA,NA,"E.6","E.6.1"
18,2008,NA,NA,"E.6","E.6.1"
19,2004,NA,NA,"E.6","E.6.1"
20,2021,NA,NA,"E.6","E.6.1"
1,2014,1,NA,"E.7","E.7.2"
2,2014,2,0,"E.7","E.7.2"
3,2019,1,0,"E.7","E.7.2"
4,2009,0,0,"E.7","E.7.2"
5,2011,0,0,"E.7","E.7.2"
6,2006,NA,NA,"E.7","E.7.2"
7,2011,NA,NA,"E.7","E.7.2"
8,2021,NA,NA,"E.7","E.7.2"
9,2004,NA,NA,"E.7","E.7.2"
10,2005,NA,NA,"E.7","E.7.2"
11,2016,NA,NA,"E.7","E.7.2"
12,2008,NA,NA,"E.7","E.7.2"
13,2013,NA,NA,"E.7","E.7.2"
14,2021,NA,NA,"E.7","E.7.2"
15,2006,NA,NA,"E.7","E.7.2"
16,2017,NA,NA,"E.7","E.7.2"
17,2020,NA,NA,"E.7","E.7.2"
18,2008,NA,NA,"E.7","E.7.2"
19,2004,NA,NA,"E.7","E.7.2"
20,2021,NA,NA,"E.7","E.7.2"
1,2014,32,NA,"W.5","W.5.3"
2,2014,49,1782,"W.5","W.5.3"
3,2019,0,0,"W.5","W.5.3"
4,2009,0,0,"W.5","W.5.3"
5,2011,NA,NA,"W.5","W.5.3"
6,2006,NA,NA,"W.5","W.5.3"
7,2011,NA,NA,"W.5","W.5.3"
8,2021,NA,NA,"W.5","W.5.3"
9,2004,NA,NA,"W.5","W.5.3"
10,2005,NA,NA,"W.5","W.5.3"
11,2016,NA,NA,"W.5","W.5.3"
12,2008,NA,NA,"W.5","W.5.3"
13,2013,NA,NA,"W.5","W.5.3"
14,2021,NA,NA,"W.5","W.5.3"
15,2006,NA,NA,"W.5","W.5.3"
16,2017,NA,NA,"W.5","W.5.3"
17,2020,NA,NA,"W.5","W.5.3"
18,2008,NA,NA,"W.5","W.5.3"
19,2004,NA,NA,"W.5","W.5.3"
20,2021,NA,NA,"W.5","W.5.3"
1,2014,1,NA,"E.5","E.5.4"
2,2014,3,0,"E.5","E.5.4"
3,2019,0,0,"E.5","E.5.4"
4,2009,0,0,"E.5","E.5.4"
5,2011,NA,NA,"E.5","E.5.4"
6,2006,NA,NA,"E.5","E.5.4"
7,2011,NA,NA,"E.5","E.5.4"
8,2021,NA,NA,"E.5","E.5.4"
9,2004,NA,NA,"E.5","E.5.4"
10,2005,NA,NA,"E.5","E.5.4"
11,2016,NA,NA,"E.5","E.5.4"
12,2008,NA,NA,"E.5","E.5.4"
13,2013,NA,NA,"E.5","E.5.4"
14,2021,NA,NA,"E.5","E.5.4"
15,2006,NA,NA,"E.5","E.5.4"
16,2017,NA,NA,"E.5","E.5.4"
17,2020,NA,NA,"E.5","E.5.4"
18,2008,NA,NA,"E.5","E.5.4"
19,2004,NA,NA,"E.5","E.5.4"
20,2021,NA,NA,"E.5","E.5.4"
1,2014,2,NA,"W.1","W.1.5"
2,2014,0,0,"W.1","W.1.5"
