"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2018,23,NA,"E.1","E.1.1"
2,2016,21,0,"E.1","E.1.1"
3,2009,41,1,"E.1","E.1.1"
4,2005,23,35,"E.1","E.1.1"
5,2008,4,3,"E.1","E.1.1"
6,2003,3,0,"E.1","E.1.1"
7,2004,4,0,"E.1","E.1.1"
8,2014,0,0,"E.1","E.1.1"
9,2013,0,0,"E.1","E.1.1"
10,2013,NA,NA,"E.1","E.1.1"
11,2005,NA,NA,"E.1","E.1.1"
12,2015,NA,NA,"E.1","E.1.1"
13,2006,NA,NA,"E.1","E.1.1"
14,2002,NA,NA,"E.1","E.1.1"
15,2004,NA,NA,"E.1","E.1.1"
16,2003,NA,NA,"E.1","E.1.1"
17,2006,NA,NA,"E.1","E.1.1"
18,2006,NA,NA,"E.1","E.1.1"
19,2020,NA,NA,"E.1","E.1.1"
20,2018,NA,NA,"E.1","E.1.1"
1,2018,50,NA,"E.4","E.4.2"
2,2016,22,10,"E.4","E.4.2"
3,2009,19,4,"E.4","E.4.2"
4,2005,20,0,"E.4","E.4.2"
5,2008,4,0,"E.4","E.4.2"
6,2003,3,0,"E.4","E.4.2"
7,2004,3,0,"E.4","E.4.2"
8,2014,4,0,"E.4","E.4.2"
9,2013,5,0,"E.4","E.4.2"
10,2013,3,0,"E.4","E.4.2"
11,2005,4,0,"E.4","E.4.2"
12,2015,9,3,"E.4","E.4.2"
13,2006,21,0,"E.4","E.4.2"
14,2002,10,11,"E.4","E.4.2"
15,2004,21,0,"E.4","E.4.2"
16,2003,23,9,"E.4","E.4.2"
17,2006,49,27,"E.4","E.4.2"
18,2006,29,11,"E.4","E.4.2"
19,2020,27,22,"E.4","E.4.2"
20,2018,14,10,"E.4","E.4.2"
1,2018,41,NA,"E.6","E.6.3"
2,2016,26,24,"E.6","E.6.3"
3,2009,12,7,"E.6","E.6.3"
4,2005,7,8,"E.6","E.6.3"
5,2008,13,0,"E.6","E.6.3"
6,2003,15,0,"E.6","E.6.3"
7,2004,8,9,"E.6","E.6.3"
8,2014,11,0,"E.6","E.6.3"
9,2013,6,0,"E.6","E.6.3"
10,2013,0,0,"E.6","E.6.3"
11,2005,0,0,"E.6","E.6.3"
12,2015,NA,NA,"E.6","E.6.3"
13,2006,NA,NA,"E.6","E.6.3"
14,2002,NA,NA,"E.6","E.6.3"
15,2004,NA,NA,"E.6","E.6.3"
16,2003,NA,NA,"E.6","E.6.3"
17,2006,NA,NA,"E.6","E.6.3"
18,2006,NA,NA,"E.6","E.6.3"
19,2020,NA,NA,"E.6","E.6.3"
20,2018,NA,NA,"E.6","E.6.3"
1,2018,5,NA,"E.2","E.2.4"
2,2016,16,2,"E.2","E.2.4"
3,2009,2,1,"E.2","E.2.4"
4,2005,2,0,"E.2","E.2.4"
5,2008,0,0,"E.2","E.2.4"
6,2003,0,0,"E.2","E.2.4"
7,2004,NA,NA,"E.2","E.2.4"
8,2014,NA,NA,"E.2","E.2.4"
9,2013,NA,NA,"E.2","E.2.4"
10,2013,NA,NA,"E.2","E.2.4"
11,2005,NA,NA,"E.2","E.2.4"
12,2015,NA,NA,"E.2","E.2.4"
13,2006,NA,NA,"E.2","E.2.4"
14,2002,NA,NA,"E.2","E.2.4"
15,2004,NA,NA,"E.2","E.2.4"
16,2003,NA,NA,"E.2","E.2.4"
17,2006,NA,NA,"E.2","E.2.4"
18,2006,NA,NA,"E.2","E.2.4"
19,2020,NA,NA,"E.2","E.2.4"
20,2018,NA,NA,"E.2","E.2.4"
1,2018,86,NA,"E.1","E.1.5"
2,2016,58,40,"E.1","E.1.5"
3,2009,71,73,"E.1","E.1.5"
4,2005,53,28,"E.1","E.1.5"
5,2008,41,36,"E.1","E.1.5"
6,2003,38,0,"E.1","E.1.5"
7,2004,25,5,"E.1","E.1.5"
8,2014,9,9,"E.1","E.1.5"
9,2013,12,0,"E.1","E.1.5"
10,2013,7,0,"E.1","E.1.5"
11,2005,7,0,"E.1","E.1.5"
12,2015,12,0,"E.1","E.1.5"
13,2006,14,21,"E.1","E.1.5"
14,2002,10,0,"E.1","E.1.5"
15,2004,18,0,"E.1","E.1.5"
16,2003,14,20,"E.1","E.1.5"
17,2006,9,0,"E.1","E.1.5"
18,2006,17,4,"E.1","E.1.5"
19,2020,26,0,"E.1","E.1.5"
20,2018,19,19,"E.1","E.1.5"
1,2018,20,NA,"W.1","W.1.6"
2,2016,9,0,"W.1","W.1.6"
3,2009,3,0,"W.1","W.1.6"
4,2005,5,0,"W.1","W.1.6"
5,2008,2,0,"W.1","W.1.6"
6,2003,1,0,"W.1","W.1.6"
7,2004,1,0,"W.1","W.1.6"
8,2014,2,0,"W.1","W.1.6"
9,2013,2,0,"W.1","W.1.6"
10,2013,3,0,"W.1","W.1.6"
11,2005,9,0,"W.1","W.1.6"
12,2015,11,0,"W.1","W.1.6"
13,2006,4,9,"W.1","W.1.6"
14,2002,1,0,"W.1","W.1.6"
15,2004,0,0,"W.1","W.1.6"
16,2003,0,0,"W.1","W.1.6"
17,2006,NA,NA,"W.1","W.1.6"
18,2006,NA,NA,"W.1","W.1.6"
19,2020,NA,NA,"W.1","W.1.6"
20,2018,NA,NA,"W.1","W.1.6"
1,2018,17,NA,"E.6","E.6.7"
2,2016,10,1,"E.6","E.6.7"
3,2009,6,0,"E.6","E.6.7"
4,2005,5,0,"E.6","E.6.7"
5,2008,13,0,"E.6","E.6.7"
6,2003,19,0,"E.6","E.6.7"
7,2004,21,18,"E.6","E.6.7"
8,2014,15,8,"E.6","E.6.7"
9,2013,11,2,"E.6","E.6.7"
10,2013,8,0,"E.6","E.6.7"
11,2005,23,0,"E.6","E.6.7"
12,2015,28,12,"E.6","E.6.7"
13,2006,30,37,"E.6","E.6.7"
14,2002,31,15,"E.6","E.6.7"
15,2004,10,5,"E.6","E.6.7"
16,2003,10,0,"E.6","E.6.7"
17,2006,2,0,"E.6","E.6.7"
18,2006,2,0,"E.6","E.6.7"
19,2020,2,0,"E.6","E.6.7"
20,2018,0,0,"E.6","E.6.7"
1,2018,11,NA,"E.4","E.4.8"
2,2016,12,0,"E.4","E.4.8"
3,2009,10,0,"E.4","E.4.8"
4,2005,11,4,"E.4","E.4.8"
5,2008,23,3,"E.4","E.4.8"
6,2003,30,0,"E.4","E.4.8"
7,2004,26,0,"E.4","E.4.8"
8,2014,15,8,"E.4","E.4.8"
9,2013,14,7,"E.4","E.4.8"
10,2013,8,0,"E.4","E.4.8"
11,2005,4,0,"E.4","E.4.8"
12,2015,5,1,"E.4","E.4.8"
13,2006,6,6,"E.4","E.4.8"
14,2002,0,0,"E.4","E.4.8"
15,2004,0,0,"E.4","E.4.8"
16,2003,NA,NA,"E.4","E.4.8"
17,2006,NA,NA,"E.4","E.4.8"
18,2006,NA,NA,"E.4","E.4.8"
19,2020,NA,NA,"E.4","E.4.8"
20,2018,NA,NA,"E.4","E.4.8"
1,2018,44,NA,"E.1","E.1.9"
2,2016,56,12,"E.1","E.1.9"
3,2009,49,33,"E.1","E.1.9"
4,2005,24,44,"E.1","E.1.9"
5,2008,46,0,"E.1","E.1.9"
6,2003,28,4,"E.1","E.1.9"
7,2004,21,15,"E.1","E.1.9"
8,2014,10,2,"E.1","E.1.9"
9,2013,2,4,"E.1","E.1.9"
10,2013,0,0,"E.1","E.1.9"
11,2005,0,0,"E.1","E.1.9"
12,2015,NA,NA,"E.1","E.1.9"
13,2006,NA,NA,"E.1","E.1.9"
14,2002,NA,NA,"E.1","E.1.9"
15,2004,NA,NA,"E.1","E.1.9"
16,2003,NA,NA,"E.1","E.1.9"
17,2006,NA,NA,"E.1","E.1.9"
18,2006,NA,NA,"E.1","E.1.9"
19,2020,NA,NA,"E.1","E.1.9"
20,2018,NA,NA,"E.1","E.1.9"
1,2018,1,NA,"E.7","E.7.10"
