"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2004,1,NA,"E.4","E.4.1"
2,2004,0,0,"E.4","E.4.1"
3,2010,0,0,"E.4","E.4.1"
4,2003,NA,NA,"E.4","E.4.1"
5,2013,NA,NA,"E.4","E.4.1"
6,2020,NA,NA,"E.4","E.4.1"
7,2020,NA,NA,"E.4","E.4.1"
8,2021,NA,NA,"E.4","E.4.1"
9,2009,NA,NA,"E.4","E.4.1"
10,2018,NA,NA,"E.4","E.4.1"
11,2006,NA,NA,"E.4","E.4.1"
12,2020,NA,NA,"E.4","E.4.1"
13,2010,NA,NA,"E.4","E.4.1"
14,2015,NA,NA,"E.4","E.4.1"
15,2010,NA,NA,"E.4","E.4.1"
16,2016,NA,NA,"E.4","E.4.1"
17,2002,NA,NA,"E.4","E.4.1"
18,2019,NA,NA,"E.4","E.4.1"
19,2016,NA,NA,"E.4","E.4.1"
20,2002,NA,NA,"E.4","E.4.1"
1,2004,93,NA,"W.4","W.4.2"
2,2004,62,14755,"W.4","W.4.2"
3,2010,67,4891,"W.4","W.4.2"
4,2003,87,1198,"W.4","W.4.2"
5,2013,0,0,"W.4","W.4.2"
6,2020,0,0,"W.4","W.4.2"
7,2020,NA,NA,"W.4","W.4.2"
8,2021,NA,NA,"W.4","W.4.2"
9,2009,NA,NA,"W.4","W.4.2"
10,2018,NA,NA,"W.4","W.4.2"
11,2006,NA,NA,"W.4","W.4.2"
12,2020,NA,NA,"W.4","W.4.2"
13,2010,NA,NA,"W.4","W.4.2"
14,2015,NA,NA,"W.4","W.4.2"
15,2010,NA,NA,"W.4","W.4.2"
16,2016,NA,NA,"W.4","W.4.2"
17,2002,NA,NA,"W.4","W.4.2"
18,2019,NA,NA,"W.4","W.4.2"
19,2016,NA,NA,"W.4","W.4.2"
20,2002,NA,NA,"W.4","W.4.2"
1,2004,8,NA,"E.4","E.4.3"
2,2004,0,0,"E.4","E.4.3"
3,2010,0,0,"E.4","E.4.3"
4,2003,NA,NA,"E.4","E.4.3"
5,2013,NA,NA,"E.4","E.4.3"
6,2020,NA,NA,"E.4","E.4.3"
7,2020,NA,NA,"E.4","E.4.3"
8,2021,NA,NA,"E.4","E.4.3"
9,2009,NA,NA,"E.4","E.4.3"
10,2018,NA,NA,"E.4","E.4.3"
11,2006,NA,NA,"E.4","E.4.3"
12,2020,NA,NA,"E.4","E.4.3"
13,2010,NA,NA,"E.4","E.4.3"
14,2015,NA,NA,"E.4","E.4.3"
15,2010,NA,NA,"E.4","E.4.3"
16,2016,NA,NA,"E.4","E.4.3"
17,2002,NA,NA,"E.4","E.4.3"
18,2019,NA,NA,"E.4","E.4.3"
19,2016,NA,NA,"E.4","E.4.3"
20,2002,NA,NA,"E.4","E.4.3"
1,2004,44,NA,"E.7","E.7.4"
2,2004,47,8060,"E.7","E.7.4"
3,2010,100,12140,"E.7","E.7.4"
4,2003,59,3694,"E.7","E.7.4"
5,2013,0,0,"E.7","E.7.4"
6,2020,0,0,"E.7","E.7.4"
7,2020,NA,NA,"E.7","E.7.4"
8,2021,NA,NA,"E.7","E.7.4"
9,2009,NA,NA,"E.7","E.7.4"
10,2018,NA,NA,"E.7","E.7.4"
11,2006,NA,NA,"E.7","E.7.4"
12,2020,NA,NA,"E.7","E.7.4"
13,2010,NA,NA,"E.7","E.7.4"
14,2015,NA,NA,"E.7","E.7.4"
15,2010,NA,NA,"E.7","E.7.4"
16,2016,NA,NA,"E.7","E.7.4"
17,2002,NA,NA,"E.7","E.7.4"
18,2019,NA,NA,"E.7","E.7.4"
19,2016,NA,NA,"E.7","E.7.4"
20,2002,NA,NA,"E.7","E.7.4"
1,2004,37,NA,"W.4","W.4.5"
2,2004,8,7478,"W.4","W.4.5"
3,2010,15,1734,"W.4","W.4.5"
4,2003,19,1542,"W.4","W.4.5"
5,2013,0,0,"W.4","W.4.5"
6,2020,0,0,"W.4","W.4.5"
7,2020,NA,NA,"W.4","W.4.5"
8,2021,NA,NA,"W.4","W.4.5"
9,2009,NA,NA,"W.4","W.4.5"
10,2018,NA,NA,"W.4","W.4.5"
11,2006,NA,NA,"W.4","W.4.5"
12,2020,NA,NA,"W.4","W.4.5"
13,2010,NA,NA,"W.4","W.4.5"
14,2015,NA,NA,"W.4","W.4.5"
15,2010,NA,NA,"W.4","W.4.5"
16,2016,NA,NA,"W.4","W.4.5"
17,2002,NA,NA,"W.4","W.4.5"
18,2019,NA,NA,"W.4","W.4.5"
19,2016,NA,NA,"W.4","W.4.5"
20,2002,NA,NA,"W.4","W.4.5"
1,2004,39,NA,"W.4","W.4.6"
2,2004,20,3099,"W.4","W.4.6"
3,2010,25,2032,"W.4","W.4.6"
4,2003,72,550,"W.4","W.4.6"
5,2013,34,7957,"W.4","W.4.6"
6,2020,35,1395,"W.4","W.4.6"
7,2020,0,0,"W.4","W.4.6"
8,2021,0,0,"W.4","W.4.6"
9,2009,NA,NA,"W.4","W.4.6"
10,2018,NA,NA,"W.4","W.4.6"
11,2006,NA,NA,"W.4","W.4.6"
12,2020,NA,NA,"W.4","W.4.6"
13,2010,NA,NA,"W.4","W.4.6"
14,2015,NA,NA,"W.4","W.4.6"
15,2010,NA,NA,"W.4","W.4.6"
16,2016,NA,NA,"W.4","W.4.6"
17,2002,NA,NA,"W.4","W.4.6"
18,2019,NA,NA,"W.4","W.4.6"
19,2016,NA,NA,"W.4","W.4.6"
20,2002,NA,NA,"W.4","W.4.6"
1,2004,12,NA,"W.5","W.5.7"
2,2004,10,3038,"W.5","W.5.7"
3,2010,0,0,"W.5","W.5.7"
4,2003,0,0,"W.5","W.5.7"
5,2013,NA,NA,"W.5","W.5.7"
6,2020,NA,NA,"W.5","W.5.7"
7,2020,NA,NA,"W.5","W.5.7"
8,2021,NA,NA,"W.5","W.5.7"
9,2009,NA,NA,"W.5","W.5.7"
10,2018,NA,NA,"W.5","W.5.7"
11,2006,NA,NA,"W.5","W.5.7"
12,2020,NA,NA,"W.5","W.5.7"
13,2010,NA,NA,"W.5","W.5.7"
14,2015,NA,NA,"W.5","W.5.7"
15,2010,NA,NA,"W.5","W.5.7"
16,2016,NA,NA,"W.5","W.5.7"
17,2002,NA,NA,"W.5","W.5.7"
18,2019,NA,NA,"W.5","W.5.7"
19,2016,NA,NA,"W.5","W.5.7"
20,2002,NA,NA,"W.5","W.5.7"
1,2004,1,NA,"E.5","E.5.8"
2,2004,2,108,"E.5","E.5.8"
3,2010,10,243,"E.5","E.5.8"
4,2003,19,438,"E.5","E.5.8"
5,2013,0,0,"E.5","E.5.8"
6,2020,0,0,"E.5","E.5.8"
7,2020,NA,NA,"E.5","E.5.8"
8,2021,NA,NA,"E.5","E.5.8"
9,2009,NA,NA,"E.5","E.5.8"
10,2018,NA,NA,"E.5","E.5.8"
11,2006,NA,NA,"E.5","E.5.8"
12,2020,NA,NA,"E.5","E.5.8"
13,2010,NA,NA,"E.5","E.5.8"
14,2015,NA,NA,"E.5","E.5.8"
15,2010,NA,NA,"E.5","E.5.8"
16,2016,NA,NA,"E.5","E.5.8"
17,2002,NA,NA,"E.5","E.5.8"
18,2019,NA,NA,"E.5","E.5.8"
19,2016,NA,NA,"E.5","E.5.8"
20,2002,NA,NA,"E.5","E.5.8"
1,2004,4,NA,"E.3","E.3.9"
2,2004,0,0,"E.3","E.3.9"
3,2010,0,0,"E.3","E.3.9"
4,2003,NA,NA,"E.3","E.3.9"
5,2013,NA,NA,"E.3","E.3.9"
6,2020,NA,NA,"E.3","E.3.9"
7,2020,NA,NA,"E.3","E.3.9"
8,2021,NA,NA,"E.3","E.3.9"
9,2009,NA,NA,"E.3","E.3.9"
10,2018,NA,NA,"E.3","E.3.9"
11,2006,NA,NA,"E.3","E.3.9"
12,2020,NA,NA,"E.3","E.3.9"
13,2010,NA,NA,"E.3","E.3.9"
14,2015,NA,NA,"E.3","E.3.9"
15,2010,NA,NA,"E.3","E.3.9"
16,2016,NA,NA,"E.3","E.3.9"
17,2002,NA,NA,"E.3","E.3.9"
18,2019,NA,NA,"E.3","E.3.9"
19,2016,NA,NA,"E.3","E.3.9"
20,2002,NA,NA,"E.3","E.3.9"
1,2004,5,NA,"W.4","W.4.10"
2,2004,7,811,"W.4","W.4.10"
3,2010,23,1128,"W.4","W.4.10"
4,2003,83,2667,"W.4","W.4.10"
5,2013,0,0,"W.4","W.4.10"
6,2020,0,0,"W.4","W.4.10"
7,2020,NA,NA,"W.4","W.4.10"
8,2021,NA,NA,"W.4","W.4.10"
9,2009,NA,NA,"W.4","W.4.10"
10,2018,NA,NA,"W.4","W.4.10"
11,2006,NA,NA,"W.4","W.4.10"
12,2020,NA,NA,"W.4","W.4.10"
13,2010,NA,NA,"W.4","W.4.10"
14,2015,NA,NA,"W.4","W.4.10"
15,2010,NA,NA,"W.4","W.4.10"
16,2016,NA,NA,"W.4","W.4.10"
17,2002,NA,NA,"W.4","W.4.10"
18,2019,NA,NA,"W.4","W.4.10"
19,2016,NA,NA,"W.4","W.4.10"
20,2002,NA,NA,"W.4","W.4.10"
1,2004,9,NA,"W.3","W.3.11"
2,2004,0,0,"W.3","W.3.11"
3,2010,0,0,"W.3","W.3.11"
4,2003,NA,NA,"W.3","W.3.11"
5,2013,NA,NA,"W.3","W.3.11"
6,2020,NA,NA,"W.3","W.3.11"
7,2020,NA,NA,"W.3","W.3.11"
8,2021,NA,NA,"W.3","W.3.11"
9,2009,NA,NA,"W.3","W.3.11"
10,2018,NA,NA,"W.3","W.3.11"
11,2006,NA,NA,"W.3","W.3.11"
12,2020,NA,NA,"W.3","W.3.11"
13,2010,NA,NA,"W.3","W.3.11"
14,2015,NA,NA,"W.3","W.3.11"
15,2010,NA,NA,"W.3","W.3.11"
16,2016,NA,NA,"W.3","W.3.11"
17,2002,NA,NA,"W.3","W.3.11"
