"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","InflYesNo","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp"
1,2015,1,NA,"E.2","E.2.1",1,1,0,0,NA,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
2,2020,5,1,"E.2","E.2.1",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
3,2006,6,0,"E.2","E.2.1",1,1,1,1,0,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
4,2014,12,0,"E.2","E.2.1",1,1,1,1,0,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
5,2014,19,0,"E.2","E.2.1",1,1,1,1,0,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
6,2021,48,0,"E.2","E.2.1",1,1,1,1,0,0.271393071007163,0.70264229541267,0.599489551870115,0.913709475864913,0.312877696256228,0.915099486011656
7,2010,58,30,"E.2","E.2.1",1,1,1,1,1,0.728333106128939,0.908252363657798,0.322663492225605,0.77426705869108,-0.0714396344770398,0.911975345777408
8,2007,36,1,"E.2","E.2.1",1,1,1,1,1,0.676078939412908,0.804194424373191,0.635931988701444,0.792502661715993,0.179141488755189,0.87219596073911
9,2006,21,22,"E.2","E.2.1",1,1,1,1,1,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
10,2005,16,4,"E.2","E.2.1",1,1,1,1,1,0.475171405709443,0.749611418646112,0.244154788387561,0.802038252523882,0.615450165642526,0.904898989713957
11,2020,24,10,"E.2","E.2.1",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
12,2015,42,4,"E.2","E.2.1",1,1,1,1,1,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
13,2007,42,73,"E.2","E.2.1",1,1,1,1,1,0.676078939412908,0.804194424373191,0.635931988701444,0.792502661715993,0.179141488755189,0.87219596073911
14,2019,59,14,"E.2","E.2.1",1,1,1,1,1,0.516812071540082,0.648340988983694,0.548302489806649,0.827728638883116,0.228885778825587,0.85589882012107
15,2019,30,21,"E.2","E.2.1",1,1,1,1,1,0.516812071540082,0.648340988983694,0.548302489806649,0.827728638883116,0.228885778825587,0.85589882012107
16,2003,41,22,"E.2","E.2.1",1,1,1,1,1,0.40460535089953,0.770539774868584,0.406761367672264,0.809886259374539,0.521230437731599,0.928291099200762
17,2008,7,13,"E.2","E.2.1",1,1,1,1,1,0.397635694760219,0.747196066075193,0.216515858324331,0.931702654679972,-0.105997197037868,0.868929950865345
18,2006,NA,NA,"E.2","E.2.1",1,0,0,1,NA,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
1,2015,3,NA,"E.4","E.4.2",1,1,0,0,NA,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
2,2020,NA,NA,"E.4","E.4.2",1,0,0,1,NA,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
1,2015,44,NA,"E.4","E.4.3",1,1,0,0,NA,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
2,2020,15,33,"E.4","E.4.3",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
3,2006,19,7,"E.4","E.4.3",1,1,1,1,1,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
4,2014,11,0,"E.4","E.4.3",1,1,1,1,0,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
5,2014,20,2,"E.4","E.4.3",1,1,1,1,1,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
6,2021,20,8,"E.4","E.4.3",1,1,1,1,1,0.271393071007163,0.70264229541267,0.599489551870115,0.913709475864913,0.312877696256228,0.915099486011656
7,2010,40,0,"E.4","E.4.3",1,1,1,1,0,0.728333106128939,0.908252363657798,0.322663492225605,0.77426705869108,-0.0714396344770398,0.911975345777408
8,2007,42,9,"E.4","E.4.3",1,1,1,1,1,0.676078939412908,0.804194424373191,0.635931988701444,0.792502661715993,0.179141488755189,0.87219596073911
9,2006,26,5,"E.4","E.4.3",1,1,1,1,1,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
10,2005,20,9,"E.4","E.4.3",1,1,1,1,1,0.475171405709443,0.749611418646112,0.244154788387561,0.802038252523882,0.615450165642526,0.904898989713957
11,2020,34,28,"E.4","E.4.3",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
12,2015,98,14,"E.4","E.4.3",1,1,1,1,1,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
13,2007,144,24,"E.4","E.4.3",1,1,1,1,1,0.676078939412908,0.804194424373191,0.635931988701444,0.792502661715993,0.179141488755189,0.87219596073911
14,2019,63,110,"E.4","E.4.3",1,1,1,1,1,0.516812071540082,0.648340988983694,0.548302489806649,0.827728638883116,0.228885778825587,0.85589882012107
15,2019,60,36,"E.4","E.4.3",1,1,1,1,1,0.516812071540082,0.648340988983694,0.548302489806649,0.827728638883116,0.228885778825587,0.85589882012107
16,2003,54,20,"E.4","E.4.3",1,1,1,1,1,0.40460535089953,0.770539774868584,0.406761367672264,0.809886259374539,0.521230437731599,0.928291099200762
17,2008,46,52,"E.4","E.4.3",1,1,1,1,1,0.397635694760219,0.747196066075193,0.216515858324331,0.931702654679972,-0.105997197037868,0.868929950865345
18,2006,39,0,"E.4","E.4.3",1,1,1,1,0,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
19,2020,22,5,"E.4","E.4.3",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
20,2004,35,6,"E.4","E.4.3",1,1,1,1,1,0.426126252719016,0.472325399549983,0.774946832826108,0.875357461364366,0.660313021089086,0.871551332206154
1,2015,1,NA,"E.1","E.1.4",1,1,0,0,NA,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
2,2020,6,1,"E.1","E.1.4",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
3,2006,NA,NA,"E.1","E.1.4",1,0,0,1,NA,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
1,2015,35,NA,"W.5","W.5.5",1,1,0,0,NA,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
2,2020,23,9,"W.5","W.5.5",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
3,2006,18,0,"W.5","W.5.5",1,1,1,1,0,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
4,2014,5,2,"W.5","W.5.5",1,1,1,1,1,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
5,2014,NA,NA,"W.5","W.5.5",1,0,0,1,NA,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
1,2015,20,NA,"E.7","E.7.6",1,1,0,0,NA,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
2,2020,18,10,"E.7","E.7.6",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
3,2006,23,24,"E.7","E.7.6",1,1,1,1,1,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
4,2014,18,0,"E.7","E.7.6",1,1,1,1,0,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
5,2014,9,6,"E.7","E.7.6",1,1,1,1,1,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
6,2021,13,2,"E.7","E.7.6",1,1,1,1,1,0.271393071007163,0.70264229541267,0.599489551870115,0.913709475864913,0.312877696256228,0.915099486011656
7,2010,22,0,"E.7","E.7.6",1,1,1,1,0,0.728333106128939,0.908252363657798,0.322663492225605,0.77426705869108,-0.0714396344770398,0.911975345777408
8,2007,46,0,"E.7","E.7.6",1,1,1,1,0,0.676078939412908,0.804194424373191,0.635931988701444,0.792502661715993,0.179141488755189,0.87219596073911
9,2006,32,24,"E.7","E.7.6",1,1,1,1,1,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
10,2005,15,2,"E.7","E.7.6",1,1,1,1,1,0.475171405709443,0.749611418646112,0.244154788387561,0.802038252523882,0.615450165642526,0.904898989713957
11,2020,NA,NA,"E.7","E.7.6",1,0,0,1,NA,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
1,2015,11,NA,"E.5","E.5.7",1,1,0,0,NA,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
2,2020,5,3,"E.5","E.5.7",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
3,2006,2,0,"E.5","E.5.7",1,1,1,1,0,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
4,2014,5,0,"E.5","E.5.7",1,1,1,1,0,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
5,2014,8,0,"E.5","E.5.7",1,1,1,1,0,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
6,2021,6,0,"E.5","E.5.7",1,1,1,1,0,0.271393071007163,0.70264229541267,0.599489551870115,0.913709475864913,0.312877696256228,0.915099486011656
7,2010,4,3,"E.5","E.5.7",1,1,1,1,1,0.728333106128939,0.908252363657798,0.322663492225605,0.77426705869108,-0.0714396344770398,0.911975345777408
8,2007,15,0,"E.5","E.5.7",1,1,1,1,0,0.676078939412908,0.804194424373191,0.635931988701444,0.792502661715993,0.179141488755189,0.87219596073911
9,2006,52,9,"E.5","E.5.7",1,1,1,1,1,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
10,2005,96,9,"E.5","E.5.7",1,1,1,1,1,0.475171405709443,0.749611418646112,0.244154788387561,0.802038252523882,0.615450165642526,0.904898989713957
11,2020,90,60,"E.5","E.5.7",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
12,2015,42,30,"E.5","E.5.7",1,1,1,1,1,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
13,2007,35,31,"E.5","E.5.7",1,1,1,1,1,0.676078939412908,0.804194424373191,0.635931988701444,0.792502661715993,0.179141488755189,0.87219596073911
14,2019,31,0,"E.5","E.5.7",1,1,1,1,0,0.516812071540082,0.648340988983694,0.548302489806649,0.827728638883116,0.228885778825587,0.85589882012107
15,2019,14,14,"E.5","E.5.7",1,1,1,1,1,0.516812071540082,0.648340988983694,0.548302489806649,0.827728638883116,0.228885778825587,0.85589882012107
16,2003,5,4,"E.5","E.5.7",1,1,1,1,1,0.40460535089953,0.770539774868584,0.406761367672264,0.809886259374539,0.521230437731599,0.928291099200762
17,2008,6,0,"E.5","E.5.7",1,1,1,1,0,0.397635694760219,0.747196066075193,0.216515858324331,0.931702654679972,-0.105997197037868,0.868929950865345
18,2006,8,0,"E.5","E.5.7",1,1,1,1,0,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
19,2020,28,0,"E.5","E.5.7",1,1,1,1,0,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
20,2004,26,5,"E.5","E.5.7",1,1,1,1,1,0.426126252719016,0.472325399549983,0.774946832826108,0.875357461364366,0.660313021089086,0.871551332206154
1,2015,23,NA,"E.1","E.1.8",1,1,0,0,NA,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
2,2020,22,13,"E.1","E.1.8",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
3,2006,30,8,"E.1","E.1.8",1,1,1,1,1,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
4,2014,32,9,"E.1","E.1.8",1,1,1,1,1,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
5,2014,24,10,"E.1","E.1.8",1,1,1,1,1,1,0.57133371017399,0.548897718011174,0.86208627893659,0.149155416629547,0.870935412452827
6,2021,22,6,"E.1","E.1.8",1,1,1,1,1,0.271393071007163,0.70264229541267,0.599489551870115,0.913709475864913,0.312877696256228,0.915099486011656
7,2010,29,14,"E.1","E.1.8",1,1,1,1,1,0.728333106128939,0.908252363657798,0.322663492225605,0.77426705869108,-0.0714396344770398,0.911975345777408
8,2007,43,7,"E.1","E.1.8",1,1,1,1,1,0.676078939412908,0.804194424373191,0.635931988701444,0.792502661715993,0.179141488755189,0.87219596073911
9,2006,30,0,"E.1","E.1.8",1,1,1,1,0,0.565221037597558,0.431015989261498,0.515147040991936,0.900048383456686,0.314117470221433,0.983999419746195
10,2005,49,17,"E.1","E.1.8",1,1,1,1,1,0.475171405709443,0.749611418646112,0.244154788387561,0.802038252523882,0.615450165642526,0.904898989713957
11,2020,50,14,"E.1","E.1.8",1,1,1,1,1,0.484891047633171,0.523281698781461,0.324299241171216,0.857062810422188,0.536021943823545,0.925924590788817
12,2015,25,13,"E.1","E.1.8",1,1,1,1,1,0.51891383099796,1,1,0.845620144706949,0.633968675327944,0.87855609108059
13,2007,63,26,"E.1","E.1.8",1,1,1,1,1,0.676078939412908,0.804194424373191,0.635931988701444,0.792502661715993,0.179141488755189,0.87219596073911
14,2019,16,28,"E.1","E.1.8",1,1,1,1,1,0.516812071540082,0.648340988983694,0.548302489806649,0.827728638883116,0.228885778825587,0.85589882012107
15,2019,34,2,"E.1","E.1.8",1,1,1,1,1,0.516812071540082,0.648340988983694,0.548302489806649,0.827728638883116,0.228885778825587,0.85589882012107
16,2003,73,19,"E.1","E.1.8",1,1,1,1,1,0.40460535089953,0.770539774868584,0.406761367672264,0.809886259374539,0.521230437731599,0.928291099200762
